# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	5.82280267e+00	7.10302064e-18	-4.30956566e+00	2.15478283e+00	4.10037264e+00	2.91140133e+00	5.06618416e+00	7.56618501e-01	2.91140133e+00	-2.91140133e+00	1.94558981e+00	-6.25515548e+00
2               	2.05306777e+00	7.07187508e-18	-1.95002691e+00	9.75013457e-01	1.44281959e+00	1.02653389e+00	2.00154734e+00	5.15204288e-02	1.02653389e+00	-1.02653389e+00	4.67806134e-01	-2.41783305e+00
3               	-7.11219009e-01	7.09049565e-18	7.35899331e-02	-3.67949665e-02	-2.96772383e-01	-3.55609505e-01	-3.92404471e-01	-3.18814538e-01	-3.55609505e-01	3.55609505e-01	-2.59977417e-01	3.33567350e-01
4               	-8.92038734e-01	7.07331889e-18	1.31762903e-01	-6.58814513e-02	-2.48701075e-01	-4.46019367e-01	-5.11900818e-01	-3.80137916e-01	-4.46019367e-01	4.46019367e-01	-1.82819623e-01	3.14582526e-01
5               	-1.48300446e-01	7.05525468e-18	-3.40328826e-01	1.70164413e-01	1.66650696e-01	-7.41502231e-02	9.60141898e-02	-2.44314636e-01	-7.41502231e-02	7.41502231e-02	-3.51371662e-03	-3.36815109e-01
6               	2.57940496e-01	7.05237724e-18	-5.36674911e-01	2.68337456e-01	3.23217825e-01	1.28970248e-01	3.97307704e-01	-1.39367207e-01	1.28970248e-01	-1.28970248e-01	5.48803692e-02	-5.91555281e-01
7               	2.25961658e-01	7.05858641e-18	-4.91172060e-01	2.45586030e-01	2.85800523e-01	1.12980829e-01	3.58566859e-01	-1.32605201e-01	1.12980829e-01	-1.12980829e-01	4.02144936e-02	-5.31386553e-01
8               	7.96815462e-02	7.06367399e-18	-4.31543596e-01	2.15771798e-01	2.34193000e-01	3.98407731e-02	2.55612571e-01	-1.75931025e-01	3.98407731e-02	-3.98407731e-02	1.84212022e-02	-4.49964799e-01
9               	1.73883802e-02	7.06306147e-18	-4.33794165e-01	2.16897082e-01	2.25941399e-01	8.69419012e-03	2.25591272e-01	-2.08202892e-01	8.69419012e-03	-8.69419012e-03	9.04431648e-03	-4.42838481e-01
10              	3.29166238e-02	7.06115367e-18	-4.56170174e-01	2.28085087e-01	2.38841124e-01	1.64583119e-02	2.44543399e-01	-2.11626775e-01	1.64583119e-02	-1.64583119e-02	1.07560369e-02	-4.66926211e-01
11              	6.29152140e-02	7.05963907e-18	-4.68505582e-01	2.34252791e-01	2.49729284e-01	3.14576070e-02	2.65710398e-01	-2.02795184e-01	3.14576070e-02	-3.14576070e-02	1.54764934e-02	-4.83982075e-01
12              	7.38842840e-02	7.05955089e-18	-4.72429007e-01	2.36214504e-01	2.54698351e-01	3.69421420e-02	2.73156646e-01	-1.99272362e-01	3.69421420e-02	-3.69421420e-02	1.84838478e-02	-4.90912855e-01
13              	7.02727534e-02	7.05995958e-18	-4.76356084e-01	2.38178042e-01	2.56876217e-01	3.51363767e-02	2.73314419e-01	-2.03041665e-01	3.51363767e-02	-3.51363767e-02	1.86981755e-02	-4.95054259e-01
14              	6.47916648e-02	7.06014535e-18	-4.81497502e-01	2.40748751e-01	2.58598120e-01	3.23958324e-02	2.73144583e-01	-2.08352919e-01	3.23958324e-02	-3.23958324e-02	1.78493692e-02	-4.99346871e-01
15              	6.31994308e-02	7.05999210e-18	-4.85556009e-01	2.42778005e-01	2.60072596e-01	3.15997154e-02	2.74377720e-01	-2.11178289e-01	3.15997154e-02	-3.15997154e-02	1.72945911e-02	-5.02850600e-01
