# Wall shear stress
# Time          	patch           	min             	max             
500             	Wing	(-6.69397033e-05 -1.35824125e-05 -6.63161511e-21)	(-3.95677121e-06 4.17622269e-05 3.93202634e-21)
1000            	Wing	(-7.09940792e-05 -1.10651822e-05 -6.56845824e-21)	(-3.77277811e-06 4.86817796e-05 3.86645094e-21)
1500            	Wing	(-7.18530602e-05 -1.05906502e-05 -6.55657917e-21)	(-3.75442987e-06 5.01602725e-05 3.85264077e-21)
2000            	Wing	(-7.20272877e-05 -1.04961107e-05 -6.55419685e-21)	(-3.74189991e-06 5.04609317e-05 3.84978155e-21)
2500            	Wing	(-7.20625545e-05 -1.04770473e-05 -6.55370773e-21)	(-3.73945453e-06 5.05219138e-05 3.84919595e-21)
3000            	Wing	(-7.20697063e-05 -1.04731816e-05 -6.55361033e-21)	(-3.73896112e-06 5.05343194e-05 3.84907996e-21)
3500            	Wing	(-7.20711643e-05 -1.04723944e-05 -6.55359061e-21)	(-3.73886107e-06 5.05368477e-05 3.84905763e-21)
4000            	Wing	(-7.20714647e-05 -1.04722352e-05 -6.55358516e-21)	(-3.73884021e-06 5.05373484e-05 3.84905168e-21)
4500            	Wing	(-7.20715285e-05 -1.04722034e-05 -6.55358191e-21)	(-3.73883508e-06 5.05374337e-05 3.84904723e-21)
5000            	Wing	(-7.20715448e-05 -1.04721971e-05 -6.55358159e-21)	(-3.73883405e-06 5.05374540e-05 3.84904711e-21)
