# ccx tau_xx tau_yy tau_zz cp yplus
0.0232243 -3.00729e-05 -1.0263e-05 3.19145e-23 0.14941 88.8645
0.0197717 -2.91426e-05 -1.04722e-05 -3.17844e-23 0.205526 86.7379
0.0168746 -2.66068e-05 -9.43673e-06 3.17512e-23 0.356243 79.3389
0.0144187 -2.26406e-05 -8.93198e-06 0 0.461467 73.5169
0.0122851 -1.96357e-05 -8.17203e-06 -2.93874e-39 0.565672 67.8236
0.01042 -1.67984e-05 -7.25505e-06 -6.49761e-23 0.643971 63.2267
0.00882479 -1.45665e-05 -5.92641e-06 4.85671e-23 0.736129 56.843
0.00744655 -1.20584e-05 -4.69837e-06 0 0.78962 52.1352
0.00628075 -1.04081e-05 -3.23297e-06 -1.05062e-22 0.857876 46.2394
0.00536445 -8.56032e-06 -1.88985e-06 -8.02884e-24 0.913321 39.4225
0.0045672 -6.98314e-06 -8.96401e-07 1.46407e-22 0.951834 34.3551
0.00382309 -5.86142e-06 -1.84235e-07 -1.29491e-22 0.981205 30.6121
0.00317431 -4.86321e-06 3.9729e-07 1.30598e-22 1.00424 26.8278
0.00260697 -4.15978e-06 8.65269e-07 1.37476e-22 1.01597 23.9961
0.00206786 -3.83835e-06 1.3073e-06 -1.53592e-22 1.01885 23.3129
0.00162566 -3.73883e-06 1.88637e-06 1.76324e-38 1.01507 24.2218
0.00132964 -3.77639e-06 2.58351e-06 3.06936e-24 1.00506 26.2214
0.00109899 -3.83403e-06 3.43923e-06 -2.63312e-24 0.98868 29.715
0.000874189 -3.98293e-06 4.42903e-06 1.50705e-22 0.965758 34.5981
0.000654408 -4.29945e-06 5.57732e-06 -1.38082e-22 0.936045 39.9679
0.000454832 -4.64669e-06 6.90702e-06 6.48654e-23 0.8986 45.4795
0.000312067 -4.96069e-06 8.31792e-06 -1.2206e-22 0.853848 50.7027
0.00020904 -5.66304e-06 9.78372e-06 5.94598e-23 0.805798 56.2349
0.000107312 -6.56117e-06 1.14761e-05 -2.70903e-24 0.749528 61.7771
5.15853e-05 -7.03786e-06 1.33149e-05 1.41722e-23 0.681317 67.2184
9.96817e-05 -7.31664e-06 1.50899e-05 -1.17875e-23 0.610432 71.8823
0.000206606 -8.50154e-06 1.67057e-05 5.49861e-23 0.549619 75.9557
0.000314949 -9.95832e-06 1.86284e-05 -5.51669e-23 0.48048 79.8981
0.000465451 -1.08554e-05 2.06926e-05 0 0.393883 84.2233
0.000671292 -1.23651e-05 2.26707e-05 -1.12385e-22 0.315833 87.3071
0.000893605 -1.44461e-05 2.46977e-05 1.12362e-22 0.234401 89.731
0.00112111 -1.70139e-05 2.68292e-05 -2.28131e-22 0.136077 91.8277
0.00135466 -2.0285e-05 2.98569e-05 2.29205e-22 0.0251775 96.3677
0.0016648 -2.21246e-05 3.3343e-05 -1.14915e-22 -0.120917 101.747
0.00211322 -2.39171e-05 3.63592e-05 1.16262e-22 -0.238648 103.943
0.00263899 -2.71312e-05 3.82837e-05 1.14225e-22 -0.321798 104.017
0.00319168 -3.13326e-05 4.05599e-05 2.05406e-25 -0.428388 107.158
0.00383727 -3.43448e-05 4.34733e-05 -2.34966e-22 -0.589543 110.075
0.00459218 -3.86601e-05 4.53292e-05 1.27434e-22 -0.701301 110.313
0.00540287 -4.43649e-05 4.67879e-05 1.19147e-22 -0.825496 114.104
0.00634392 -4.87381e-05 4.91675e-05 -1.1872e-22 -1.02934 121.073
0.00753358 -5.0559e-05 5.05375e-05 7.43547e-24 -1.20457 124.424
0.00892548 -5.45634e-05 4.94843e-05 1.48806e-23 -1.23232 125.099
0.0105505 -5.55946e-05 4.98921e-05 -5.95536e-23 -1.38742 129.144
0.012456 -5.7395e-05 4.77147e-05 1.34827e-22 -1.38083 127.912
0.0146489 -5.72007e-05 4.60778e-05 -5.94992e-23 -1.42987 129.243
0.0171912 -5.61554e-05 4.29819e-05 5.87747e-39 -1.38572 127.045
0.0200884 -5.44789e-05 3.96886e-05 6.0665e-23 -1.31769 124.027
0.0233601 -5.31473e-05 3.63892e-05 -1.46937e-39 -1.23105 120.515
