# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	5.82280267e+00	7.10302064e-18	-4.30956566e+00	2.15478283e+00	4.10037264e+00	2.91140133e+00	5.06618416e+00	7.56618501e-01	2.91140133e+00	-2.91140133e+00	1.94558981e+00	-6.25515548e+00
2               	2.05121027e+00	7.07083521e-18	-1.94881086e+00	9.74405430e-01	1.44186681e+00	1.02560513e+00	2.00001056e+00	5.11997053e-02	1.02560513e+00	-1.02560513e+00	4.67461379e-01	-2.41627224e+00
3               	-7.09517459e-01	7.08361779e-18	6.71528391e-02	-3.35764195e-02	-2.92400793e-01	-3.54758729e-01	-3.88335149e-01	-3.21182310e-01	-3.54758729e-01	3.54758729e-01	-2.58824374e-01	3.25977213e-01
4               	-8.92940695e-01	7.06352534e-18	1.24919916e-01	-6.24599580e-02	-2.44278753e-01	-4.46470348e-01	-5.08930306e-01	-3.84010390e-01	-4.46470348e-01	4.46470348e-01	-1.81818795e-01	3.06738711e-01
5               	-1.50085313e-01	7.04263159e-18	-3.40440112e-01	1.70220056e-01	1.66473842e-01	-7.50426565e-02	9.51773993e-02	-2.45262712e-01	-7.50426565e-02	7.50426565e-02	-3.74621344e-03	-3.36693898e-01
6               	2.56809548e-01	7.03893387e-18	-5.35950726e-01	2.67975363e-01	3.22325387e-01	1.28404774e-01	3.96380137e-01	-1.39570589e-01	1.28404774e-01	-1.28404774e-01	5.43500234e-02	-5.90300750e-01
7               	2.25670611e-01	7.04520249e-18	-4.94152080e-01	2.47076040e-01	2.87297652e-01	1.12835306e-01	3.59911346e-01	-1.34240735e-01	1.12835306e-01	-1.12835306e-01	4.02216114e-02	-5.34373692e-01
8               	7.92138126e-02	7.05216895e-18	-4.34035867e-01	2.17017933e-01	2.35834659e-01	3.96069063e-02	2.56624840e-01	-1.77411027e-01	3.96069063e-02	-3.96069063e-02	1.88167258e-02	-4.52852593e-01
9               	1.66577059e-02	7.05363205e-18	-4.35591943e-01	2.17795971e-01	2.27162572e-01	8.32885295e-03	2.26124824e-01	-2.09467118e-01	8.32885295e-03	-8.32885295e-03	9.36660028e-03	-4.44958543e-01
10              	3.20671338e-02	7.05297015e-18	-4.57411965e-01	2.28705982e-01	2.39541682e-01	1.60335669e-02	2.44739549e-01	-2.12672416e-01	1.60335669e-02	-1.60335669e-02	1.08357001e-02	-4.68247665e-01
11              	6.22636162e-02	7.05209783e-18	-4.69970713e-01	2.34985356e-01	2.50483265e-01	3.11318081e-02	2.66117165e-01	-2.03853548e-01	3.11318081e-02	-3.11318081e-02	1.54979089e-02	-4.85468622e-01
12              	7.31942493e-02	7.05255142e-18	-4.73425363e-01	2.36712681e-01	2.55342933e-01	3.65971247e-02	2.73309806e-01	-2.00115557e-01	3.65971247e-02	-3.65971247e-02	1.86302520e-02	-4.92055615e-01
13              	6.98684983e-02	7.05380405e-18	-4.77022152e-01	2.38511076e-01	2.57357856e-01	3.49342491e-02	2.73445325e-01	-2.03576827e-01	3.49342491e-02	-3.49342491e-02	1.88467796e-02	-4.95868932e-01
14              	6.44685041e-02	7.05450333e-18	-4.82055971e-01	2.41027985e-01	2.59073055e-01	3.22342520e-02	2.73262238e-01	-2.08793733e-01	3.22342520e-02	-3.22342520e-02	1.80450700e-02	-5.00101041e-01
15              	6.30105821e-02	7.05449603e-18	-4.86183869e-01	2.43091934e-01	2.60573097e-01	3.15052911e-02	2.74597225e-01	-2.11586643e-01	3.15052911e-02	-3.15052911e-02	1.74811628e-02	-5.03665032e-01
16              	6.43881045e-02	7.05420307e-18	-4.90023061e-01	2.45011531e-01	2.62527825e-01	3.21940522e-02	2.77205583e-01	-2.12817478e-01	3.21940522e-02	-3.21940522e-02	1.75162940e-02	-5.07539355e-01
17              	6.58118267e-02	7.05397944e-18	-4.94087978e-01	2.47043989e-01	2.64756288e-01	3.29059133e-02	2.79949902e-01	-2.14138076e-01	3.29059133e-02	-3.29059133e-02	1.77122992e-02	-5.11800277e-01
18              	6.63604121e-02	7.05383883e-18	-4.97737268e-01	2.48868634e-01	2.66651443e-01	3.31802060e-02	2.82048840e-01	-2.15688428e-01	3.31802060e-02	-3.31802060e-02	1.77828088e-02	-5.15520077e-01
19              	6.61852785e-02	7.05367838e-18	-5.00532173e-01	2.50266087e-01	2.67842562e-01	3.30926393e-02	2.83358726e-01	-2.17173447e-01	3.30926393e-02	-3.30926393e-02	1.75764755e-02	-5.18108649e-01
20              	6.58615829e-02	7.05352772e-18	-5.02990985e-01	2.51495492e-01	2.68708970e-01	3.29307915e-02	2.84426284e-01	-2.18564701e-01	3.29307915e-02	-3.29307915e-02	1.72134777e-02	-5.20204462e-01
21              	6.57401963e-02	7.05337816e-18	-5.05308315e-01	2.52654158e-01	2.69552759e-01	3.28700981e-02	2.85524256e-01	-2.19784059e-01	3.28700981e-02	-3.28700981e-02	1.68986018e-02	-5.22206917e-01
22              	6.57029906e-02	7.05323985e-18	-5.07617782e-01	2.53808891e-01	2.70423839e-01	3.28514953e-02	2.86660386e-01	-2.20957396e-01	3.28514953e-02	-3.28514953e-02	1.66149477e-02	-5.24232729e-01
23              	6.56264293e-02	7.05311600e-18	-5.09492763e-01	2.54746382e-01	2.71030313e-01	3.28132147e-02	2.87559596e-01	-2.21933167e-01	3.28132147e-02	-3.28132147e-02	1.62839314e-02	-5.25776695e-01
24              	6.54902790e-02	7.05301222e-18	-5.11029631e-01	2.55514816e-01	2.71439011e-01	3.27451395e-02	2.88259955e-01	-2.22769676e-01	3.27451395e-02	-3.27451395e-02	1.59241954e-02	-5.26953827e-01
25              	6.52773212e-02	7.05293669e-18	-5.12614720e-01	2.56307360e-01	2.71876507e-01	3.26386606e-02	2.88946020e-01	-2.23668699e-01	3.26386606e-02	-3.26386606e-02	1.55691474e-02	-5.28183867e-01
26              	6.50879539e-02	7.05294672e-18	-5.14351576e-01	2.57175788e-01	2.72401737e-01	3.25439770e-02	2.89719765e-01	-2.24631811e-01	3.25439770e-02	-3.25439770e-02	1.52259489e-02	-5.29577525e-01
27              	6.49115953e-02	7.05304137e-18	-5.15829064e-01	2.57914532e-01	2.72809832e-01	3.24557976e-02	2.90370329e-01	-2.25458734e-01	3.24557976e-02	-3.24557976e-02	1.48953001e-02	-5.30724364e-01
