# Wall shear stress
# Time          	patch           	min             	max             
500             	Wing	(-6.58938655e-05 -1.43645379e-05 -5.75320866e-21)	(-1.03978873e-06 4.44324674e-05 4.95439858e-21)
1000            	Wing	(-6.85450855e-05 -1.16662053e-05 -6.00237872e-21)	(-6.17264756e-07 5.16766909e-05 4.70074821e-21)
1500            	Wing	(-6.90562596e-05 -1.11504092e-05 -6.03356951e-21)	(-9.50709174e-07 5.32815567e-05 4.65416575e-21)
2000            	Wing	(-6.91564297e-05 -1.10490228e-05 -6.03869644e-21)	(-8.44049529e-07 5.36065937e-05 4.64663302e-21)
2500            	Wing	(-6.91761884e-05 -1.10288687e-05 -6.03973898e-21)	(-8.22102070e-07 5.36718192e-05 4.64511387e-21)
3000            	Wing	(-6.91801414e-05 -1.10248345e-05 -6.03994029e-21)	(-8.17700557e-07 5.36848872e-05 4.64481109e-21)
3500            	Wing	(-6.91809389e-05 -1.10240262e-05 -6.03998525e-21)	(-8.16833692e-07 5.36875047e-05 4.64474970e-21)
4000            	Wing	(-6.91811042e-05 -1.10238625e-05 -6.03999831e-21)	(-8.16657461e-07 5.36880327e-05 4.64473332e-21)
4500            	Wing	(-6.91811436e-05 -1.10238286e-05 -6.04000729e-21)	(-8.16621031e-07 5.36881406e-05 4.64472729e-21)
5000            	Wing	(-6.91811540e-05 -1.10238204e-05 -6.04000264e-21)	(-8.16609870e-07 5.36881639e-05 4.64472897e-21)
