# y+ ()         
# Time          	patch           	min             	max             	average         
500             	Wing	1.59150116e+01	1.24009689e+02	7.94593399e+01
500             	Ground	2.71065202e+01	3.85331525e+02	9.49090993e+01
1000            	Wing	1.25961801e+01	1.30199980e+02	8.07040786e+01
1000            	Ground	4.23973227e+01	4.61565646e+02	1.25674823e+02
1500            	Wing	1.51853498e+01	1.31648390e+02	8.09542305e+01
1500            	Ground	4.54169147e+01	4.75395730e+02	1.33455855e+02
2000            	Wing	1.43863749e+01	1.31938635e+02	8.10034502e+01
2000            	Ground	4.60550830e+01	4.78112695e+02	1.35075774e+02
2500            	Wing	1.42167856e+01	1.31996698e+02	8.10130160e+01
2500            	Ground	4.61643754e+01	4.78675800e+02	1.35402855e+02
3000            	Wing	1.41825533e+01	1.32008319e+02	8.10149098e+01
3000            	Ground	4.61865555e+01	4.78795389e+02	1.35468449e+02
3500            	Wing	1.41758092e+01	1.32010646e+02	8.10153087e+01
3500            	Ground	4.61910211e+01	4.78792765e+02	1.35481499e+02
4000            	Wing	1.41744423e+01	1.32011115e+02	8.10153843e+01
4000            	Ground	4.61919321e+01	4.78812056e+02	1.35484227e+02
4500            	Wing	1.41741599e+01	1.32011212e+02	8.10154097e+01
4500            	Ground	4.61921398e+01	4.78823363e+02	1.35484730e+02
5000            	Wing	1.41740692e+01	1.32011235e+02	8.10154044e+01
5000            	Ground	4.61921941e+01	4.78798562e+02	1.35484776e+02
