# ccx tau_xx tau_yy tau_zz cp yplus
0.0232243 -3.10454e-05 -1.08849e-05 3.44265e-23 0.146725 90.3758
0.0197717 -3.00805e-05 -1.10238e-05 -3.44376e-23 0.195396 88.2006
0.0168746 -2.74555e-05 -9.86407e-06 3.46896e-23 0.339124 80.6598
0.0144187 -2.33341e-05 -9.27018e-06 -1.46937e-39 0.441736 74.6773
0.0122851 -2.02231e-05 -8.46845e-06 0 0.542917 68.868
0.01042 -1.72593e-05 -7.52766e-06 -7.47617e-23 0.619403 64.1655
0.00882479 -1.49371e-05 -6.14055e-06 5.72458e-23 0.707291 57.7045
0.00744655 -1.23524e-05 -4.86517e-06 1.17549e-38 0.76059 52.907
0.00628075 -1.06778e-05 -3.33862e-06 -1.32066e-22 0.826187 46.9036
0.00536445 -8.83171e-06 -1.9252e-06 -1.05603e-23 0.879433 39.9494
0.0045672 -7.25857e-06 -8.53546e-07 2.02458e-22 0.91706 34.7729
0.00382309 -6.03108e-06 -1.15708e-07 -1.9233e-22 0.945294 30.9347
0.00317431 -4.97402e-06 4.81563e-07 2.14023e-22 0.966079 27.0702
0.00260697 -4.23197e-06 9.65582e-07 2.59763e-22 0.976728 24.1708
0.00206786 -3.85836e-06 1.40775e-06 -3.66875e-22 0.979544 23.4168
0.00162566 -3.71451e-06 1.96862e-06 2.35099e-38 0.975118 24.3603
0.00132964 -3.74497e-06 2.62837e-06 1.06731e-23 0.965299 26.2393
0.00109899 -3.92069e-06 3.50715e-06 -6.02789e-24 0.949394 29.797
0.000874189 -4.0347e-06 4.57962e-06 2.8209e-22 0.926667 34.9346
0.000654408 -4.32808e-06 5.78734e-06 -2.2921e-22 0.897633 40.4343
0.000454832 -4.64805e-06 7.19139e-06 9.93832e-23 0.86085 46.0692
0.000312067 -4.92007e-06 8.66788e-06 -1.76961e-22 0.816794 51.4045
0.00020904 -5.59884e-06 1.01934e-05 8.26353e-23 0.768327 57.0588
0.000107312 -6.4748e-06 1.19644e-05 -3.63954e-24 0.711538 62.6979
5.15853e-05 -6.90207e-06 1.38936e-05 1.8553e-23 0.643947 68.238
9.96817e-05 -7.12878e-06 1.57429e-05 -1.51422e-23 0.573852 73.0197
0.000206606 -8.31749e-06 1.74113e-05 6.93587e-23 0.511355 77.203
0.000314949 -9.79542e-06 1.94141e-05 -6.85193e-23 0.440469 81.2369
0.000465451 -1.06958e-05 2.15812e-05 2.93874e-39 0.353752 85.6849
0.000671292 -1.22497e-05 2.3644e-05 -1.36329e-22 0.273968 88.8775
0.000893605 -1.44175e-05 2.57936e-05 1.34932e-22 0.190906 91.3845
0.00112111 -1.70566e-05 2.79894e-05 -2.71667e-22 0.09174 93.5571
0.00135466 -2.03702e-05 3.10509e-05 2.71443e-22 -0.020868 98.1944
0.0016648 -2.22158e-05 3.47601e-05 -1.35168e-22 -0.16465 103.706
0.00211322 -2.40738e-05 3.80366e-05 1.35792e-22 -0.279919 106.006
0.00263899 -2.73789e-05 4.01234e-05 1.32469e-22 -0.362584 106.106
0.00319168 -3.16775e-05 4.2543e-05 2.30548e-25 -0.46948 109.312
0.00383727 -3.47814e-05 4.57131e-05 -2.68887e-22 -0.627037 112.332
0.00459218 -3.92453e-05 4.77495e-05 1.44845e-22 -0.738171 112.6
0.00540287 -4.51451e-05 4.95001e-05 1.34243e-22 -0.861146 116.44
0.00634392 -4.96576e-05 5.20987e-05 -1.32863e-22 -1.05749 123.545
0.00753358 -5.15666e-05 5.36882e-05 8.28305e-24 -1.22258 126.998
0.00892548 -5.56931e-05 5.26985e-05 1.64374e-23 -1.24524 127.686
0.0105505 -5.67352e-05 5.3298e-05 -6.54004e-23 -1.38614 131.81
0.012456 -5.86274e-05 5.12368e-05 1.4747e-22 -1.37456 130.625
0.0146489 -5.84363e-05 4.96935e-05 -6.47848e-23 -1.4141 132.011
0.0171912 -5.7399e-05 4.66174e-05 0 -1.36441 129.809
0.0200884 -5.56802e-05 4.32788e-05 6.55943e-23 -1.29235 126.74
0.0233601 -5.43026e-05 3.98992e-05 0 -1.20682 123.153
0.962343 -9.45566e-06 -7.00841e-07 -4.44914e-21 0.283427 46.03
0.890965 -5.03866e-06 -4.03471e-07 -6.75909e-38 0.313153 34.0681
0.826058 -3.39288e-06 -1.92582e-07 -2.81542e-22 0.291894 28.3625
0.76576 -5.80981e-06 -1.70013e-07 -7.1163e-23 0.24361 37.3451
0.710078 -1.07401e-05 -6.10475e-08 1.12694e-21 0.190862 50.8063
0.658238 -1.46903e-05 -1.64275e-08 -5.2919e-22 0.156629 59.3207
0.608848 -1.70695e-05 -3.68049e-08 4.59177e-40 0.131357 63.849
0.562736 -1.88298e-05 -1.68978e-07 3.51657e-23 0.111935 66.9913
0.519601 -2.01937e-05 -3.36354e-07 1.05262e-22 0.100811 69.3001
0.478476 -2.13254e-05 -5.21907e-07 1.77058e-27 0.0904565 71.1635
0.440012 -2.23019e-05 -7.37837e-07 3.51174e-23 0.0863841 72.723
0.403793 -2.31002e-05 -9.4753e-07 3.51413e-23 0.0849432 73.9733
0.369512 -2.39015e-05 -1.15282e-06 -6.01957e-28 0.0822959 75.2219
0.337539 -2.46867e-05 -1.37179e-06 -3.53916e-23 0.0829366 76.4194
0.307426 -2.53299e-05 -1.5813e-06 2.84081e-22 0.087733 77.3878
0.279047 -2.58046e-05 -1.76511e-06 1.42498e-22 0.098153 78.104
0.252708 -2.62436e-05 -1.91496e-06 -1.42392e-22 0.104699 78.805
0.228153 -2.68384e-05 -2.07843e-06 2.86986e-42 0.106437 79.7486
0.205109 -2.75639e-05 -2.28641e-06 -1.41293e-22 0.105106 80.8709
0.183658 -2.83881e-05 -2.57183e-06 -2.75506e-40 0.0991884 82.13
0.163932 -2.92298e-05 -2.94289e-06 -1.75676e-23 0.0937403 83.3851
0.145824 -2.98783e-05 -3.36283e-06 1.75874e-23 0.0947161 84.3284
0.129141 -3.02308e-05 -3.79221e-06 1.40931e-22 0.10186 84.8583
0.11387 -3.02051e-05 -4.17512e-06 -1.41107e-22 0.121604 84.8545
0.0999644 -3.00942e-05 -4.55391e-06 1.43576e-22 0.130004 84.8461
0.0873688 -2.99974e-05 -4.93361e-06 -1.43622e-22 0.146438 84.8318
0.0760275 -2.96791e-05 -5.28074e-06 1.83671e-40 0.1647 84.5489
0.0659448 -2.93137e-05 -5.64301e-06 -7.07791e-23 0.181007 84.2726
0.0570338 -2.88946e-05 -5.99173e-06 -1.76793e-23 0.200446 83.9359
0.0491478 -2.86072e-05 -6.45155e-06 1.76458e-23 0.206394 83.938
0.0422869 -2.84794e-05 -6.97601e-06 -3.51739e-23 0.214089 84.2074
0.036381 -2.85903e-05 -7.78933e-06 1.10203e-39 0.201422 85.0815
0.0313147 -2.92145e-05 -8.87274e-06 0 0.176218 86.8489
