# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	2.43385339e+01	1.11974825e-18	-1.72205683e+01	8.61028413e+00	1.66419554e+01	1.21692670e+01	2.07795511e+01	3.55898284e+00	1.21692670e+01	-1.21692670e+01	8.03167128e+00	-2.52522395e+01
2               	5.06114019e+00	7.72744971e-19	-5.22160633e+00	2.61080316e+00	3.54951930e+00	2.53057010e+00	5.14137326e+00	-8.02330690e-02	2.53057010e+00	-2.53057010e+00	9.38716133e-01	-6.16032246e+00
3               	-4.74199264e+00	7.23213637e-19	3.75193243e+00	-1.87596621e+00	-3.64362888e+00	-2.37099632e+00	-4.24696253e+00	-4.95030105e-01	-2.37099632e+00	2.37099632e+00	-1.76766266e+00	5.51959509e+00
4               	-3.32423039e+00	7.46104924e-19	2.39972348e+00	-1.19986174e+00	-1.97737586e+00	-1.66211520e+00	-2.86197693e+00	-4.62253457e-01	-1.66211520e+00	1.66211520e+00	-7.77514122e-01	3.17723760e+00
5               	-8.50727454e-02	7.62329628e-19	-3.98779929e-01	1.99389964e-01	3.92629473e-01	-4.25363727e-02	1.56853592e-01	-2.41926337e-01	-4.25363727e-02	4.25363727e-02	1.93239509e-01	-5.92019438e-01
6               	1.09572002e+00	7.65634329e-19	-9.58426011e-01	4.79213005e-01	7.03283337e-01	5.47860009e-01	1.02707301e+00	6.86470034e-02	5.47860009e-01	-5.47860009e-01	2.24070332e-01	-1.18249634e+00
7               	7.69836670e-01	7.61824906e-19	-4.20134549e-01	2.10067275e-01	2.18346057e-01	3.84918335e-01	5.94985610e-01	1.74851061e-01	3.84918335e-01	-3.84918335e-01	8.27878286e-03	-4.28413332e-01
8               	1.56780160e-01	7.59749925e-19	-6.33223097e-02	3.16611548e-02	-3.78381834e-02	7.83900798e-02	1.10051235e-01	4.67289250e-02	7.83900798e-02	-7.83900798e-02	-6.94993383e-02	6.17702859e-03
9               	-1.09845832e-01	7.61605896e-19	-1.05524215e-01	5.27621074e-02	5.23989990e-03	-5.49229160e-02	-2.16080857e-03	-1.07685023e-01	-5.49229160e-02	5.49229160e-02	-4.75222075e-02	-5.80020073e-02
10              	-5.88643925e-02	7.62613940e-19	-2.39388582e-01	1.19694291e-01	9.83872150e-02	-2.94321962e-02	9.02620946e-02	-1.49126487e-01	-2.94321962e-02	2.94321962e-02	-2.13070758e-02	-2.18081506e-01
11              	6.48222918e-02	7.63485089e-19	-3.13481073e-01	1.56740536e-01	1.45314718e-01	3.24111459e-02	1.89151682e-01	-1.24329391e-01	3.24111459e-02	-3.24111459e-02	-1.14258186e-02	-3.02055254e-01
12              	1.23459060e-01	7.64247036e-19	-3.30040495e-01	1.65020247e-01	1.58006720e-01	6.17295301e-02	2.26749777e-01	-1.03290717e-01	6.17295301e-02	-6.17295301e-02	-7.01352708e-03	-3.23026968e-01
13              	1.09722617e-01	7.64519476e-19	-2.79370240e-01	1.39685120e-01	1.27854234e-01	5.48613083e-02	1.94546428e-01	-8.48238118e-02	5.48613083e-02	-5.48613083e-02	-1.18308860e-02	-2.67539354e-01
14              	7.73668154e-02	7.64518374e-19	-2.45845662e-01	1.22922831e-01	1.05642476e-01	3.86834077e-02	1.61606239e-01	-8.42394235e-02	3.86834077e-02	-3.86834077e-02	-1.72803556e-02	-2.28565307e-01
15              	6.07063956e-02	7.64883128e-19	-2.52687401e-01	1.26343700e-01	1.08234632e-01	3.03531978e-02	1.56696898e-01	-9.59905026e-02	3.03531978e-02	-3.03531978e-02	-1.81090684e-02	-2.34578332e-01
16              	6.02594965e-02	7.65318411e-19	-2.70826607e-01	1.35413303e-01	1.19430450e-01	3.01297483e-02	1.65543052e-01	-1.05283555e-01	3.01297483e-02	-3.01297483e-02	-1.59828529e-02	-2.54843754e-01
17              	6.49745655e-02	7.65713101e-19	-2.83997406e-01	1.41998703e-01	1.28511194e-01	3.24872828e-02	1.74485986e-01	-1.09511420e-01	3.24872828e-02	-3.24872828e-02	-1.34875088e-02	-2.70509897e-01
18              	6.78180336e-02	7.66000153e-19	-2.92837107e-01	1.46418553e-01	1.34712214e-01	3.39090168e-02	1.80327570e-01	-1.12509537e-01	3.39090168e-02	-3.39090168e-02	-1.17063396e-02	-2.81130767e-01
19              	6.81321421e-02	7.66283004e-19	-3.03710547e-01	1.51855274e-01	1.41759688e-01	3.40660711e-02	1.85921345e-01	-1.17789202e-01	3.40660711e-02	-3.40660711e-02	-1.00955852e-02	-2.93614962e-01
20              	6.74985869e-02	7.66556072e-19	-3.16225165e-01	1.58112583e-01	1.49785158e-01	3.37492934e-02	1.91861876e-01	-1.24363289e-01	3.37492934e-02	-3.37492934e-02	-8.32742433e-03	-3.07897741e-01
21              	6.65795532e-02	7.66757374e-19	-3.23373122e-01	1.61686561e-01	1.54437442e-01	3.32897766e-02	1.94976337e-01	-1.28396784e-01	3.32897766e-02	-3.32897766e-02	-7.24911915e-03	-3.16124003e-01
22              	6.50304025e-02	7.66884988e-19	-3.18264716e-01	1.59132358e-01	1.51439479e-01	3.25152013e-02	1.91647559e-01	-1.26617157e-01	3.25152013e-02	-3.25152013e-02	-7.69287934e-03	-3.10571837e-01
23              	6.37966641e-02	7.66934473e-19	-3.14007898e-01	1.57003949e-01	1.48662915e-01	3.18983320e-02	1.88902281e-01	-1.25105617e-01	3.18983320e-02	-3.18983320e-02	-8.34103358e-03	-3.05666865e-01
24              	6.35425888e-02	7.67056746e-19	-3.18272922e-01	1.59136461e-01	1.51095406e-01	3.17712944e-02	1.90907756e-01	-1.27365167e-01	3.17712944e-02	-3.17712944e-02	-8.04105503e-03	-3.10231867e-01
25              	6.38966967e-02	7.67226982e-19	-3.27319083e-01	1.63659542e-01	1.56832156e-01	3.19483484e-02	1.95607890e-01	-1.31711193e-01	3.19483484e-02	-3.19483484e-02	-6.82738606e-03	-3.20491697e-01
26              	6.41195198e-02	7.67387320e-19	-3.35008379e-01	1.67504190e-01	1.61870700e-01	3.20597599e-02	1.99563950e-01	-1.35444430e-01	3.20597599e-02	-3.20597599e-02	-5.63348963e-03	-3.29374890e-01
27              	6.40286127e-02	7.67528849e-19	-3.40185568e-01	1.70092784e-01	1.65242528e-01	3.20143063e-02	2.02107090e-01	-1.38078477e-01	3.20143063e-02	-3.20143063e-02	-4.85025619e-03	-3.35335311e-01
28              	6.34848126e-02	7.67638017e-19	-3.41399743e-01	1.70699872e-01	1.66039995e-01	3.17424063e-02	2.02442278e-01	-1.38957465e-01	3.17424063e-02	-3.17424063e-02	-4.65987627e-03	-3.36739867e-01
29              	6.27639314e-02	7.67725720e-19	-3.40588097e-01	1.70294049e-01	1.65517455e-01	3.13819657e-02	2.01676014e-01	-1.38912083e-01	3.13819657e-02	-3.13819657e-02	-4.77659358e-03	-3.35811504e-01
30              	6.22383694e-02	7.67801189e-19	-3.41696203e-01	1.70848102e-01	1.66096194e-01	3.11191847e-02	2.01967286e-01	-1.39728917e-01	3.11191847e-02	-3.11191847e-02	-4.75190735e-03	-3.36944296e-01
31              	6.20832493e-02	7.67901777e-19	-3.45623121e-01	1.72811560e-01	1.68463912e-01	3.10416246e-02	2.03853185e-01	-1.41769936e-01	3.10416246e-02	-3.10416246e-02	-4.34764883e-03	-3.41275472e-01
32              	6.20240562e-02	7.68005165e-19	-3.49691159e-01	1.74845579e-01	1.71060663e-01	3.10120281e-02	2.05857608e-01	-1.43833551e-01	3.10120281e-02	-3.10120281e-02	-3.78491649e-03	-3.45906242e-01
33              	6.17891295e-02	7.68092133e-19	-3.52158329e-01	1.76079165e-01	1.72674189e-01	3.08945648e-02	2.06973729e-01	-1.45184600e-01	3.08945648e-02	-3.08945648e-02	-3.40497531e-03	-3.48753354e-01
34              	6.13534713e-02	7.68166438e-19	-3.52841865e-01	1.76420933e-01	1.73136353e-01	3.06767356e-02	2.07097668e-01	-1.45744197e-01	3.06767356e-02	-3.06767356e-02	-3.28457950e-03	-3.49557286e-01
35              	6.09063083e-02	7.68231187e-19	-3.53387215e-01	1.76693608e-01	1.73449733e-01	3.04531542e-02	2.07146762e-01	-1.46240454e-01	3.04531542e-02	-3.04531542e-02	-3.24387443e-03	-3.50143341e-01
36              	6.06128303e-02	7.68299252e-19	-3.55190974e-01	1.77595487e-01	1.74498124e-01	3.03064151e-02	2.07901902e-01	-1.47289072e-01	3.03064151e-02	-3.03064151e-02	-3.09736260e-03	-3.52093611e-01
37              	6.04246934e-02	7.68371906e-19	-3.57538603e-01	1.78769301e-01	1.75924665e-01	3.02123467e-02	2.08981648e-01	-1.48556955e-01	3.02123467e-02	-3.02123467e-02	-2.84463590e-03	-3.54693967e-01
38              	6.02486515e-02	7.68441928e-19	-3.59537786e-01	1.79768893e-01	1.77166606e-01	3.01243257e-02	2.09893219e-01	-1.49644567e-01	3.01243257e-02	-3.01243257e-02	-2.60228669e-03	-3.56935500e-01
39              	6.00328902e-02	7.68508727e-19	-3.60804626e-01	1.80402313e-01	1.77957060e-01	3.00164451e-02	2.10418758e-01	-1.50385868e-01	3.00164451e-02	-3.00164451e-02	-2.44525279e-03	-3.58359373e-01
40              	5.98087831e-02	7.68566244e-19	-3.61816176e-01	1.80908088e-01	1.78551369e-01	2.99043915e-02	2.10812480e-01	-1.51003697e-01	2.99043915e-02	-2.99043915e-02	-2.35671915e-03	-3.59459457e-01
41              	5.96346060e-02	7.68620778e-19	-3.63142920e-01	1.81571460e-01	1.79308548e-01	2.98173030e-02	2.11388763e-01	-1.51754157e-01	2.98173030e-02	-2.98173030e-02	-2.26291213e-03	-3.60880008e-01
42              	5.95158595e-02	7.68678219e-19	-3.64725638e-01	1.82362819e-01	1.80230786e-01	2.97579298e-02	2.12120749e-01	-1.52604889e-01	2.97579298e-02	-2.97579298e-02	-2.13203319e-03	-3.62593605e-01
43              	5.94386851e-02	7.68736408e-19	-3.66321664e-01	1.83160832e-01	1.81174776e-01	2.97193425e-02	2.12880175e-01	-1.53441490e-01	2.97193425e-02	-2.97193425e-02	-1.98605656e-03	-3.64335608e-01
44              	5.93496863e-02	7.68791217e-19	-3.67526692e-01	1.83763346e-01	1.81881826e-01	2.96748432e-02	2.13438189e-01	-1.54088503e-01	2.96748432e-02	-2.96748432e-02	-1.88152055e-03	-3.65645172e-01
45              	5.92493401e-02	7.68844044e-19	-3.68585537e-01	1.84292768e-01	1.82483318e-01	2.96246700e-02	2.13917438e-01	-1.54668098e-01	2.96246700e-02	-2.96246700e-02	-1.80944982e-03	-3.66776087e-01
46              	5.91649005e-02	7.68896091e-19	-3.69804120e-01	1.84902060e-01	1.83168291e-01	2.95824503e-02	2.14484510e-01	-1.55319610e-01	2.95824503e-02	-2.95824503e-02	-1.73376964e-03	-3.68070351e-01
47              	5.90976419e-02	7.68946679e-19	-3.71145761e-01	1.85572880e-01	1.83929819e-01	2.95488209e-02	2.15121701e-01	-1.56024060e-01	2.95488209e-02	-2.95488209e-02	-1.64306126e-03	-3.69502700e-01
48              	5.90273335e-02	7.68995643e-19	-3.72425055e-01	1.86212527e-01	1.84659506e-01	2.95136667e-02	2.15726194e-01	-1.56698861e-01	2.95136667e-02	-2.95136667e-02	-1.55302108e-03	-3.70872034e-01
49              	5.89321403e-02	7.69042269e-19	-3.73444510e-01	1.86722255e-01	1.85233314e-01	2.94660701e-02	2.16188325e-01	-1.57256185e-01	2.94660701e-02	-2.94660701e-02	-1.48894097e-03	-3.71955570e-01
50              	5.88263557e-02	7.69087639e-19	-3.74404866e-01	1.87202433e-01	1.85762737e-01	2.94131779e-02	2.16615611e-01	-1.57789255e-01	2.94131779e-02	-2.94131779e-02	-1.43969650e-03	-3.72965170e-01
51              	5.87359793e-02	7.69134355e-19	-3.75525494e-01	1.87762747e-01	1.86378567e-01	2.93679897e-02	2.17130737e-01	-1.58394758e-01	2.93679897e-02	-2.93679897e-02	-1.38418054e-03	-3.74141314e-01
52              	5.86399145e-02	7.69179503e-19	-3.76634424e-01	1.88317212e-01	1.86995450e-01	2.93199572e-02	2.17637169e-01	-1.58997255e-01	2.93199572e-02	-2.93199572e-02	-1.32176238e-03	-3.75312662e-01
53              	5.85316381e-02	7.69223275e-19	-3.77629314e-01	1.88814657e-01	1.87547470e-01	2.92658191e-02	2.18080476e-01	-1.59548838e-01	2.92658191e-02	-2.92658191e-02	-1.26718749e-03	-3.76362127e-01
54              	5.84136998e-02	7.69264892e-19	-3.78538489e-01	1.89269244e-01	1.88046662e-01	2.92068499e-02	2.18476094e-01	-1.60062394e-01	2.92068499e-02	-2.92068499e-02	-1.22258274e-03	-3.77315906e-01
55              	5.83099304e-02	7.69306979e-19	-3.79512987e-01	1.89756493e-01	1.88579782e-01	2.91549652e-02	2.18911459e-01	-1.60601528e-01	2.91549652e-02	-2.91549652e-02	-1.17671102e-03	-3.78336276e-01
56              	5.82170270e-02	7.69348851e-19	-3.80525688e-01	1.90262844e-01	1.89138221e-01	2.91085135e-02	2.19371357e-01	-1.61154330e-01	2.91085135e-02	-2.91085135e-02	-1.12462323e-03	-3.79401064e-01
57              	5.81159664e-02	7.69389796e-19	-3.81462642e-01	1.90731321e-01	1.89658410e-01	2.90579832e-02	2.19789304e-01	-1.61673338e-01	2.90579832e-02	-2.90579832e-02	-1.07291081e-03	-3.80389731e-01
58              	5.80112685e-02	7.69429934e-19	-3.82372994e-01	1.91186497e-01	1.90165210e-01	2.90056342e-02	2.20192131e-01	-1.62180863e-01	2.90056342e-02	-2.90056342e-02	-1.02128695e-03	-3.81351707e-01
