# y+ ()         
# Time          	patch           	min             	max             	average         
1000            	Wing	1.35636779e-01	1.85802326e+00	9.41606282e-01
1000            	Ground	2.21127145e+01	4.19668426e+02	1.21312744e+02
2000            	Wing	1.59732185e-01	2.02330207e+00	9.73551960e-01
2000            	Ground	4.21784841e+01	5.19509850e+02	1.46510075e+02
3000            	Wing	1.70169418e-01	2.04253949e+00	9.83069125e-01
3000            	Ground	4.39407496e+01	5.28992288e+02	1.50082553e+02
4000            	Wing	7.88118874e-02	2.04932410e+00	9.86361865e-01
4000            	Ground	4.43430899e+01	5.33099963e+02	1.51633175e+02
5000            	Wing	1.00662960e-01	2.05363062e+00	9.87934284e-01
5000            	Ground	4.44685101e+01	5.35993838e+02	1.52801282e+02
