# ccx tau_xx tau_yy tau_zz cp yplus
0.0241381 -5.78329e-05 -1.5848e-05 0 0.0920577 1.17279
0.0222903 -7.81381e-06 -2.97009e-06 2.81168e-21 0.115744 0.437819
0.0205488 -6.52087e-05 -1.95596e-05 2.79547e-24 -0.182544 1.25214
0.018972 -0.000120359 -5.89004e-05 -2.9605e-24 0.0449761 1.68601
0.0175735 -8.79324e-05 -5.1263e-05 3.10894e-24 0.195509 1.43212
0.0162732 -6.32328e-05 -3.86286e-05 -6.80849e-21 0.28564 1.22546
0.0150379 -7.10522e-05 -4.35329e-05 2.70364e-37 0.248955 1.30413
0.0138963 -7.95236e-05 -5.61513e-05 -7.31828e-24 0.373727 1.36456
0.0128539 -6.31767e-05 -4.73453e-05 7.71097e-24 0.442845 1.21877
0.0118717 -5.279e-05 -4.03214e-05 -8.14939e-24 0.49865 1.1236
0.010935 -4.82802e-05 -3.83845e-05 -2.37494e-28 0.512669 1.08864
0.0100558 -6.46741e-05 -5.34026e-05 -4.51983e-21 0.510817 1.25185
0.00926883 -6.12197e-05 -5.96576e-05 -9.24147e-24 0.628158 1.20013
0.00855386 -4.60219e-05 -4.6048e-05 9.7364e-24 0.662883 1.05559
0.00786886 -4.24319e-05 -4.23229e-05 2.93874e-39 0.706613 1.02163
0.00721139 -3.04513e-05 -3.33522e-05 -2.72661e-21 0.739136 0.894837
0.00658536 -5.07627e-05 -5.32929e-05 -2.93874e-39 0.685857 1.14351
0.00606692 -4.6475e-05 -6.96964e-05 -5.76727e-38 0.823724 1.05143
0.0056447 -2.83957e-05 -4.47913e-05 1.18794e-23 0.849694 0.849247
0.00523576 -2.5447e-05 -4.02866e-05 -1.23232e-23 0.890496 0.818023
0.00483917 -2.04269e-05 -3.30196e-05 -3.27392e-21 0.909136 0.750793
0.00445409 -1.85126e-05 -2.98197e-05 1.31316e-23 0.930722 0.725884
0.00407975 -1.52056e-05 -2.51144e-05 3.4602e-21 0.946281 0.675298
0.00371686 -1.55791e-05 -2.56445e-05 -3.55561e-21 0.953799 0.692664
0.00339126 -1.23611e-05 -2.35208e-05 1.82881e-21 0.976798 0.625591
0.00310082 -8.59101e-06 -1.68371e-05 2.95329e-23 0.984391 0.538221
0.00281832 -7.17549e-06 -1.39555e-05 -3.92235e-21 0.994113 0.500381
0.00254315 -5.131e-06 -1.00114e-05 5.87747e-39 0.999354 0.432286
0.00227474 -3.73737e-06 -7.11083e-06 2.08658e-21 1.00386 0.372502
0.00201259 -1.73965e-06 -3.02827e-06 -3.29434e-23 1.00687 0.25019
0.00175619 -9.46495e-10 5.68489e-07 3.367e-23 1.00675 0.100663
0.00155717 1.68639e-06 6.75148e-06 -1.16755e-21 1.00629 0.329366
0.00142641 2.60623e-06 1.12344e-05 -1.07231e-21 1.00044 0.421822
0.00131014 3.18829e-06 1.41569e-05 1.20373e-27 0.996035 0.486242
0.0011955 3.98771e-06 1.75705e-05 -2.2513e-21 0.988991 0.55616
0.00108237 4.63961e-06 2.07231e-05 -2.93874e-39 0.981621 0.618958
0.000970662 5.36179e-06 2.4123e-05 -3.55523e-23 0.97258 0.683354
0.000860265 6.10062e-06 2.77712e-05 1.21198e-21 0.962478 0.74892
0.000751085 6.86315e-06 3.16728e-05 -1.74746e-21 0.950478 0.815366
0.000643029 7.80354e-06 3.66287e-05 3.55693e-23 0.937026 0.892039
0.000536008 8.74934e-06 4.21875e-05 1.07711e-21 0.919792 0.971874
0.000434516 1.02267e-05 5.25353e-05 5.80591e-22 0.90034 1.09399
0.00036035 6.49205e-06 5.23448e-05 -3.01826e-22 0.867382 1.07674
0.000308737 5.07654e-06 4.93412e-05 1.78948e-23 0.860328 1.05712
