# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	3.17262545e+01	5.72221940e-19	-7.57490743e+01	3.78745372e+01	4.96989819e+01	1.58631273e+01	5.37376644e+01	-2.20114099e+01	1.58631273e+01	-1.58631273e+01	1.18244447e+01	-8.75735191e+01
2               	4.51912218e+00	5.45958060e-19	-4.05194692e+00	2.02597346e+00	5.07838018e+00	2.25956109e+00	4.28553455e+00	2.33587630e-01	2.25956109e+00	-2.25956109e+00	3.05240671e+00	-7.10435364e+00
3               	-4.28807237e+00	5.42599350e-19	7.05775631e+00	-3.52887815e+00	-2.25085237e+00	-2.14403618e+00	-5.67291434e+00	1.38484197e+00	-2.14403618e+00	2.14403618e+00	1.27802578e+00	5.77973053e+00
4               	-1.33438489e+00	5.34778738e-19	9.45419045e+00	-4.72709522e+00	-3.26990027e+00	-6.67192447e-01	-5.39428767e+00	4.05990278e+00	-6.67192447e-01	6.67192447e-01	1.45719495e+00	7.99699549e+00
5               	2.11855190e-01	5.36678896e-19	1.79142435e+00	-8.95712176e-01	-8.96247641e-01	1.05927595e-01	-7.89784581e-01	1.00163977e+00	1.05927595e-01	-1.05927595e-01	-5.35465284e-04	1.79195982e+00
6               	3.39112378e-01	5.35850834e-19	-2.10822267e+00	1.05411134e+00	4.27456815e-01	1.69556189e-01	1.22366752e+00	-8.84555147e-01	1.69556189e-01	-1.69556189e-01	-6.26654521e-01	-1.48156815e+00
7               	-1.99966042e-01	5.38088346e-19	-3.25062129e+00	1.62531064e+00	5.34555694e-01	-9.99830210e-02	1.52532762e+00	-1.72529366e+00	-9.99830210e-02	9.99830210e-02	-1.09075495e+00	-2.15986634e+00
8               	-4.51878050e-01	5.37074542e-19	-3.02068483e+00	1.51034242e+00	3.31004647e-01	-2.25939025e-01	1.28440339e+00	-1.73628144e+00	-2.25939025e-01	2.25939025e-01	-1.17933777e+00	-1.84134706e+00
9               	-3.79164937e-01	5.33182460e-19	-1.33061832e+00	6.65309159e-01	-1.20400491e-01	-1.89582469e-01	4.75726690e-01	-8.54891628e-01	-1.89582469e-01	1.89582469e-01	-7.85709650e-01	-5.44908668e-01
10              	-1.17456744e-01	5.30824746e-19	-5.34136603e-01	2.67068302e-01	-8.87549795e-02	-5.87283721e-02	2.08339929e-01	-3.25796674e-01	-5.87283721e-02	5.87283721e-02	-3.55823281e-01	-1.78313322e-01
11              	7.00353164e-02	5.30186198e-19	3.77969783e-01	-1.88984892e-01	-1.50213995e-01	3.50176582e-02	-1.53967233e-01	2.24002550e-01	3.50176582e-02	-3.50176582e-02	3.87708969e-02	3.39198886e-01
12              	2.09757566e-01	5.30634210e-19	4.84370078e-01	-2.42185039e-01	-8.44226611e-03	1.04878783e-01	-1.37306256e-01	3.47063822e-01	1.04878783e-01	-1.04878783e-01	2.33742773e-01	2.50627305e-01
13              	2.26751274e-01	5.30271691e-19	5.60702254e-01	-2.80351127e-01	1.17408543e-02	1.13375637e-01	-1.66975490e-01	3.93726764e-01	1.13375637e-01	-1.13375637e-01	2.92091981e-01	2.68610272e-01
14              	2.17132582e-01	5.29933014e-19	1.46125118e-01	-7.30625592e-02	1.43160341e-01	1.08566291e-01	3.55037319e-02	1.81628850e-01	1.08566291e-01	-1.08566291e-01	2.16222901e-01	-7.00977822e-02
15              	1.51901458e-01	5.29013568e-19	-1.47355859e-01	7.36779293e-02	1.67160113e-01	7.59507292e-02	1.49628658e-01	2.27279996e-03	7.59507292e-02	-7.59507292e-02	9.34821840e-02	-2.40838043e-01
16              	1.00703828e-01	5.28068449e-19	-5.44156556e-01	2.72078278e-01	2.27013101e-01	5.03519140e-02	3.22430192e-01	-2.21726364e-01	5.03519140e-02	-5.03519140e-02	-4.50651767e-02	-4.99091379e-01
17              	3.90814022e-02	5.26790499e-19	-6.62149205e-01	3.31074602e-01	1.86841005e-01	1.95407011e-02	3.50615303e-01	-3.11533901e-01	1.95407011e-02	-1.95407011e-02	-1.44233598e-01	-5.17915607e-01
18              	1.75856586e-02	5.25772681e-19	-8.16884900e-01	4.08442450e-01	2.03897254e-01	8.79282929e-03	4.17235279e-01	-3.99649621e-01	8.79282929e-03	-8.79282929e-03	-2.04545196e-01	-6.12339704e-01
19              	4.87911412e-05	5.24662042e-19	-7.09786120e-01	3.54893060e-01	1.51243416e-01	2.43955706e-05	3.54917455e-01	-3.54868664e-01	2.43955706e-05	-2.43955706e-05	-2.03649644e-01	-5.06136476e-01
20              	1.71094174e-02	5.23818196e-19	-7.17741315e-01	3.58870657e-01	1.74477675e-01	8.55470872e-03	3.67425366e-01	-3.50315949e-01	8.55470872e-03	-8.55470872e-03	-1.84392982e-01	-5.33348333e-01
21              	2.71152978e-02	5.22766066e-19	-5.16932355e-01	2.58466178e-01	1.31131957e-01	1.35576489e-02	2.72023827e-01	-2.44908529e-01	1.35576489e-02	-1.35576489e-02	-1.27334220e-01	-3.89598135e-01
22              	5.04699196e-02	5.21788095e-19	-5.13566175e-01	2.56783087e-01	1.63058708e-01	2.52349598e-02	2.82018047e-01	-2.31548128e-01	2.52349598e-02	-2.52349598e-02	-9.37243792e-02	-4.19841796e-01
23              	5.92428530e-02	5.20258552e-19	-3.86955364e-01	1.93477682e-01	1.41023502e-01	2.96214265e-02	2.23099108e-01	-1.63856255e-01	2.96214265e-02	-2.96214265e-02	-5.24541797e-02	-3.34501184e-01
24              	7.56276735e-02	5.19531243e-19	-3.96478896e-01	1.98239448e-01	1.66371327e-01	3.78138368e-02	2.36053285e-01	-1.60425611e-01	3.78138368e-02	-3.78138368e-02	-3.18681212e-02	-3.64610775e-01
25              	7.46345895e-02	5.18348096e-19	-3.80476925e-01	1.90238462e-01	1.64877659e-01	3.73172947e-02	2.27555757e-01	-1.52921168e-01	3.73172947e-02	-3.73172947e-02	-2.53608036e-02	-3.55116121e-01
26              	8.05968797e-02	5.17227020e-19	-4.33376635e-01	2.16688317e-01	1.91212053e-01	4.02984398e-02	2.56986757e-01	-1.76389878e-01	4.02984398e-02	-4.02984398e-02	-2.54762645e-02	-4.07900370e-01
27              	7.50765611e-02	5.16183974e-19	-4.78827887e-01	2.39413943e-01	2.00094928e-01	3.75382805e-02	2.76952224e-01	-2.01875663e-01	3.75382805e-02	-3.75382805e-02	-3.93190151e-02	-4.39508872e-01
28              	7.26151405e-02	5.15200172e-19	-5.37763180e-01	2.68881590e-01	2.15517190e-01	3.63075702e-02	3.05189160e-01	-2.32574020e-01	3.63075702e-02	-3.63075702e-02	-5.33643997e-02	-4.84398780e-01
29              	6.76662119e-02	5.14219869e-19	-5.72838382e-01	2.86419191e-01	2.20632734e-01	3.38331060e-02	3.20252297e-01	-2.52586085e-01	3.38331060e-02	-3.38331060e-02	-6.57864575e-02	-5.07051925e-01
30              	6.54706278e-02	5.13326913e-19	-6.04257464e-01	3.02128732e-01	2.28337195e-01	3.27353139e-02	3.34864046e-01	-2.69393418e-01	3.27353139e-02	-3.27353139e-02	-7.37915367e-02	-5.30465928e-01
31              	6.38205797e-02	5.12466379e-19	-6.18342651e-01	3.09171325e-01	2.32221193e-01	3.19102898e-02	3.41081615e-01	-2.77261035e-01	3.19102898e-02	-3.19102898e-02	-7.69501324e-02	-5.41392518e-01
32              	6.50585074e-02	5.11647439e-19	-6.24952205e-01	3.12476103e-01	2.37857335e-01	3.25292537e-02	3.45005356e-01	-2.79946849e-01	3.25292537e-02	-3.25292537e-02	-7.46187677e-02	-5.50333438e-01
33              	6.64357000e-02	5.10843057e-19	-6.15348963e-01	3.07674481e-01	2.38667992e-01	3.32178500e-02	3.40892331e-01	-2.74456631e-01	3.32178500e-02	-3.32178500e-02	-6.90064892e-02	-5.46342473e-01
34              	6.74661533e-02	5.10490906e-19	-6.03321193e-01	3.01660597e-01	2.36675333e-01	3.37330766e-02	3.35393673e-01	-2.67927520e-01	3.37330766e-02	-3.37330766e-02	-6.49852632e-02	-5.38335930e-01
35              	6.74565480e-02	5.10235196e-19	-5.77077437e-01	2.88538719e-01	2.28078242e-01	3.37282740e-02	3.22266993e-01	-2.54810445e-01	3.37282740e-02	-3.37282740e-02	-6.04604771e-02	-5.16616960e-01
36              	6.89917999e-02	5.10039445e-19	-5.66995705e-01	2.83497852e-01	2.28106638e-01	3.44958999e-02	3.17993752e-01	-2.49001952e-01	3.44958999e-02	-3.44958999e-02	-5.53912147e-02	-5.11604490e-01
37              	7.16802320e-02	5.09839205e-19	-5.71321308e-01	2.85660654e-01	2.35114679e-01	3.58401160e-02	3.21500770e-01	-2.49820538e-01	3.58401160e-02	-3.58401160e-02	-5.05459754e-02	-5.20775333e-01
38              	7.54092693e-02	5.09623410e-19	-5.81570800e-01	2.90785400e-01	2.44931248e-01	3.77046346e-02	3.28490034e-01	-2.53080765e-01	3.77046346e-02	-3.77046346e-02	-4.58541516e-02	-5.35716648e-01
39              	7.74128971e-02	5.09408511e-19	-5.94638064e-01	2.97319032e-01	2.52876203e-01	3.87064486e-02	3.36025481e-01	-2.58612584e-01	3.87064486e-02	-3.87064486e-02	-4.44428288e-02	-5.50195235e-01
40              	7.93074681e-02	5.09186071e-19	-6.05550663e-01	3.02775331e-01	2.59490115e-01	3.96537341e-02	3.42429066e-01	-2.63121597e-01	3.96537341e-02	-3.96537341e-02	-4.32852164e-02	-5.62265447e-01
41              	7.97146292e-02	5.08977670e-19	-6.17819481e-01	3.08909741e-01	2.64303253e-01	3.98573146e-02	3.48767055e-01	-2.69052426e-01	3.98573146e-02	-3.98573146e-02	-4.46064875e-02	-5.73212994e-01
42              	7.83522638e-02	5.08807236e-19	-6.26032118e-01	3.13016059e-01	2.64131312e-01	3.91761319e-02	3.52192191e-01	-2.73839927e-01	3.91761319e-02	-3.91761319e-02	-4.88847469e-02	-5.77147371e-01
43              	7.62355720e-02	5.08666998e-19	-6.29187686e-01	3.14593843e-01	2.61138052e-01	3.81177860e-02	3.52711629e-01	-2.76476057e-01	3.81177860e-02	-3.81177860e-02	-5.34557910e-02	-5.75731895e-01
44              	7.47627500e-02	5.08560752e-19	-6.34766291e-01	3.17383145e-01	2.60904097e-01	3.73813750e-02	3.54764520e-01	-2.80001771e-01	3.73813750e-02	-3.73813750e-02	-5.64790484e-02	-5.78287243e-01
45              	7.45179010e-02	5.08479082e-19	-6.43024289e-01	3.21512144e-01	2.63936269e-01	3.72589505e-02	3.58771095e-01	-2.84253194e-01	3.72589505e-02	-3.72589505e-02	-5.75758755e-02	-5.85448413e-01
46              	7.52341931e-02	5.08407332e-19	-6.48781911e-01	3.24390956e-01	2.67654923e-01	3.76170966e-02	3.62008052e-01	-2.86773859e-01	3.76170966e-02	-3.76170966e-02	-5.67360328e-02	-5.92045879e-01
47              	7.63373121e-02	5.08355455e-19	-6.48519475e-01	3.24259737e-01	2.69767930e-01	3.81686560e-02	3.62428393e-01	-2.86091081e-01	3.81686560e-02	-3.81686560e-02	-5.44918073e-02	-5.94027668e-01
48              	7.75930346e-02	5.08329137e-19	-6.43221022e-01	3.21610511e-01	2.70172554e-01	3.87965173e-02	3.60407029e-01	-2.82813994e-01	3.87965173e-02	-3.87965173e-02	-5.14379577e-02	-5.91783065e-01
49              	7.88094223e-02	5.08323224e-19	-6.36865436e-01	3.18432718e-01	2.69908594e-01	3.94047112e-02	3.57837429e-01	-2.79028007e-01	3.94047112e-02	-3.94047112e-02	-4.85241243e-02	-5.88341312e-01
50              	7.98260179e-02	5.08333710e-19	-6.31680059e-01	3.15840029e-01	2.69610149e-01	3.99130090e-02	3.55753038e-01	-2.75927021e-01	3.99130090e-02	-3.99130090e-02	-4.62298802e-02	-5.85450179e-01
51              	8.06189898e-02	5.08349948e-19	-6.29652405e-01	3.14826202e-01	2.70045250e-01	4.03094949e-02	3.55135697e-01	-2.74516708e-01	4.03094949e-02	-4.03094949e-02	-4.47809527e-02	-5.84871452e-01
52              	8.12604763e-02	5.08372162e-19	-6.32537177e-01	3.16268589e-01	2.72019387e-01	4.06302381e-02	3.56898827e-01	-2.75638350e-01	4.06302381e-02	-4.06302381e-02	-4.42492012e-02	-5.88287976e-01
53              	8.16326657e-02	5.08365273e-19	-6.39581807e-01	3.19790904e-01	2.74994285e-01	4.08163328e-02	3.60607236e-01	-2.78974571e-01	4.08163328e-02	-4.08163328e-02	-4.47966185e-02	-5.94785189e-01
54              	8.16848912e-02	5.08298588e-19	-6.47063109e-01	3.23531554e-01	2.77544393e-01	4.08424456e-02	3.64374000e-01	-2.82689109e-01	4.08424456e-02	-4.08424456e-02	-4.59871615e-02	-6.01075947e-01
