# Wall shear stress
# Time          	patch           	min             	max             
1000            	Airfoil	(-1.67374548e-04 -1.86319382e-04 -2.67130585e-20)	(1.60346065e-05 9.60659079e-05 3.70143018e-20)
2000            	Airfoil	(-1.64604852e-04 -1.78431225e-04 -2.56496684e-20)	(1.27965433e-05 1.10069934e-04 3.57498141e-20)
3000            	Airfoil	(-1.66627708e-04 -1.72358430e-04 -2.55074776e-20)	(1.01334763e-05 1.19758724e-04 3.55385273e-20)
4000            	Airfoil	(-1.75252237e-04 -1.68001211e-04 -2.52512839e-20)	(8.30495728e-06 1.26887458e-04 3.51320512e-20)
5000            	Airfoil	(-1.80611313e-04 -1.65374730e-04 -2.51417607e-20)	(7.22590280e-06 1.31232816e-04 3.49543032e-20)
6000            	Airfoil	(-1.84014330e-04 -1.63741376e-04 -2.50752702e-20)	(6.57365115e-06 1.33940879e-04 3.48458702e-20)
7000            	Airfoil	(-1.86139072e-04 -1.62714184e-04 -2.50286984e-20)	(6.15900534e-06 1.35649673e-04 3.47701841e-20)
8000            	Airfoil	(-1.87476261e-04 -1.62072587e-04 -2.49970418e-20)	(5.90916819e-06 1.36715299e-04 3.47194257e-20)
9000            	Airfoil	(-1.88285981e-04 -1.61677282e-04 -2.49795256e-20)	(5.74840988e-06 1.37369908e-04 3.46895711e-20)
10000           	Airfoil	(-1.88761992e-04 -1.61428657e-04 -2.49746616e-20)	(5.64757264e-06 1.37766672e-04 3.46764418e-20)
