# y+ ()         
# Time          	patch           	min             	max             	average         
1000            	Ground	1.84918817e-01	2.51123064e+00	1.53775716e+00
1000            	Airfoil	2.99083986e-01	4.91744407e+00	2.20601846e+00
2000            	Ground	9.49748051e-02	1.92248500e+00	1.48013473e+00
2000            	Airfoil	2.85877498e-01	5.26936711e+00	2.31132596e+00
3000            	Ground	3.15553892e-01	2.02390736e+00	1.54749914e+00
3000            	Airfoil	3.06473655e-01	5.49986008e+00	2.37984407e+00
4000            	Ground	3.11511391e-01	2.08728802e+00	1.57610848e+00
4000            	Airfoil	7.64595027e-02	5.66231014e+00	2.42611119e+00
5000            	Ground	2.19209302e-01	2.12517739e+00	1.59369550e+00
5000            	Airfoil	3.16904221e-01	5.75906516e+00	2.45504231e+00
6000            	Ground	3.25350840e-01	2.14884855e+00	1.60477933e+00
6000            	Airfoil	3.22354554e-01	5.81853838e+00	2.47274376e+00
7000            	Ground	2.40616334e-01	2.16368118e+00	1.61188223e+00
7000            	Airfoil	3.26284007e-01	5.85560347e+00	2.48366974e+00
8000            	Ground	1.42205339e-01	2.17291161e+00	1.61586392e+00
8000            	Airfoil	3.28844424e-01	5.87860164e+00	2.49046890e+00
9000            	Ground	6.88318481e-02	2.17856038e+00	1.61844880e+00
9000            	Airfoil	3.30316945e-01	5.89270134e+00	2.49460797e+00
10000           	Ground	1.39405115e-01	2.18194365e+00	1.62058987e+00
10000           	Airfoil	3.31056816e-01	5.90124134e+00	2.49701318e+00
