# ccx tau_xx tau_yy tau_zz cp yplus
0.996464 4.46696e-06 1.91912e-06 -2.49747e-20 -0.28063 1.53901
0.988953 5.03985e-06 1.75866e-06 3.46764e-20 -0.282431 1.82253
0.980947 5.13667e-06 1.27246e-06 1.82918e-20 -0.29754 1.85538
0.972985 4.1365e-06 1.13803e-06 -1.9221e-20 -0.296776 1.63523
0.965205 4.168e-06 1.172e-06 -1.9736e-20 -0.302845 1.60956
0.957562 3.80633e-06 1.05235e-06 2.02775e-20 -0.305494 1.51666
0.950013 3.59196e-06 9.61333e-07 1.00998e-23 -0.308764 1.45315
0.942557 3.46053e-06 9.11885e-07 -1.03117e-23 -0.311067 1.40472
0.935198 3.45295e-06 9.00335e-07 -8.60736e-28 -0.314057 1.38133
0.927925 3.47746e-06 8.98956e-07 2.78629e-37 -0.316827 1.3645
0.920729 3.50592e-06 8.84698e-07 1.76324e-38 -0.320101 1.35068
0.913605 3.51775e-06 8.72284e-07 1.11455e-20 -0.323155 1.33334
0.906551 3.5395e-06 8.62239e-07 -1.12777e-20 -0.326534 1.31823
0.899565 3.54766e-06 8.49629e-07 -1.14349e-20 -0.329844 1.30085
0.892647 3.55952e-06 8.44425e-07 1.1565e-20 -0.333358 1.28356
0.885793 3.57143e-06 8.3255e-07 5.87747e-39 -0.336898 1.2673
0.879002 3.57716e-06 8.25197e-07 5.87747e-39 -0.340622 1.24955
0.87227 3.59018e-06 8.11536e-07 -1.19013e-20 -0.344365 1.23419
0.865595 3.5973e-06 8.02839e-07 -2.35271e-23 -0.348333 1.21739
0.858974 3.60836e-06 7.85512e-07 1.21663e-20 -0.352312 1.2027
0.852405 3.6176e-06 7.77887e-07 1.22602e-20 -0.356531 1.18665
0.845887 3.62058e-06 7.5347e-07 -1.23742e-20 -0.360789 1.172
0.839418 3.62777e-06 7.47891e-07 -1.24957e-20 -0.365239 1.15587
0.833004 3.62731e-06 7.22266e-07 -2.47119e-23 -0.369805 1.14131
0.826639 3.63136e-06 7.13053e-07 2.40457e-27 -0.374508 1.12559
0.820321 3.62776e-06 6.94274e-07 -2.51423e-23 -0.379398 1.10995
0.814046 3.62625e-06 6.76694e-07 2.5352e-23 -0.384407 1.09478
0.807817 3.62262e-06 6.64786e-07 1.3075e-20 -0.389638 1.07848
0.801638 3.61194e-06 6.39318e-07 5.16848e-23 -0.395009 1.06334
0.795505 3.6078e-06 6.2629e-07 1.33086e-20 -0.400571 1.04739
0.789412 3.59143e-06 6.02731e-07 -1.34384e-20 -0.406367 1.03098
0.78336 3.57611e-06 5.75775e-07 -1.3552e-20 -0.412329 1.01532
0.777355 3.56539e-06 5.57276e-07 -1.36857e-20 -0.418568 0.999173
0.771393 3.52896e-06 5.22188e-07 -1.37856e-20 -0.425041 0.982224
0.765465 3.51346e-06 4.94346e-07 -1.38824e-20 -0.431707 0.96708
0.759579 3.4868e-06 4.70851e-07 5.47346e-23 -0.438791 0.949663
0.753736 3.42215e-06 4.25715e-07 -2.1872e-27 -0.446034 0.931322
0.747928 3.41387e-06 3.93244e-07 1.4167e-20 -0.45359 0.917774
0.742155 3.36119e-06 3.62128e-07 -5.87747e-39 -0.461638 0.897884
0.736423 3.27136e-06 3.08336e-07 -7.17894e-21 -0.469792 0.877364
0.73073 3.25139e-06 2.70322e-07 -5.68808e-23 -0.478385 0.863245
0.725066 3.17744e-06 2.34122e-07 7.32638e-21 -0.487482 0.841632
0.719444 3.05664e-06 1.78943e-07 7.34674e-21 -0.496756 0.817038
0.71386 2.99783e-06 1.30432e-07 1.16412e-22 -0.506486 0.799117
0.708306 2.90527e-06 8.39256e-08 7.43684e-21 -0.516742 0.775964
0.70279 2.76372e-06 2.46241e-08 5.53952e-37 -0.527365 0.748141
0.697313 2.61572e-06 -3.92418e-08 5.95365e-23 -0.53844 0.719619
0.691864 2.56083e-06 -9.16385e-08 -7.66536e-21 -0.54996 0.702531
0.686452 2.3504e-06 -1.49155e-07 -7.8622e-21 -0.562473 0.664595
0.681078 2.08391e-06 -2.48158e-07 -7.73372e-21 -0.574764 0.62056
0.675729 2.03713e-06 -2.96689e-07 7.34684e-39 -0.587992 0.605996
0.670419 1.78071e-06 -3.79751e-07 -1.39834e-39 -0.602101 0.560088
0.665144 1.42823e-06 -4.76701e-07 4.74101e-39 -0.616234 0.500153
0.659893 1.14e-06 -5.52809e-07 -6.26118e-23 -0.631097 0.447941
0.654679 1.08773e-06 -6.42091e-07 8.22619e-21 -0.64615 0.437305
0.649501 5.94832e-07 -7.43693e-07 -8.14054e-21 -0.663523 0.356768
0.644346 1.50909e-08 -8.86841e-07 -6.41083e-23 -0.678821 0.331057
0.639225 -8.2287e-08 -9.85181e-07 -3.58732e-43 -0.69624 0.347886
0.634137 -3.80607e-07 -1.10512e-06 -6.50226e-23 -0.713814 0.385296
0.629077 -9.65683e-07 -1.21633e-06 8.43517e-21 -0.732955 0.461599
0.62405 -1.52779e-06 -1.33562e-06 -6.58096e-23 -0.750682 0.535974
0.619051 -1.70615e-06 -1.44221e-06 6.60287e-23 -0.770102 0.557156
0.614082 -2.11269e-06 -1.56489e-06 -4.92812e-38 -0.790231 0.60175
0.609148 -2.77345e-06 -1.67779e-06 7.00246e-40 -0.811191 0.667546
0.604237 -3.33787e-06 -1.79429e-06 6.68862e-23 -0.831378 0.719022
0.599358 -3.61332e-06 -1.92008e-06 -6.74812e-23 -0.852921 0.739371
0.594514 -4.08709e-06 -2.06035e-06 -6.76437e-23 -0.875496 0.774777
0.589693 -4.92109e-06 -2.17693e-06 8.75264e-21 -0.898904 0.835345
0.584904 -5.6104e-06 -2.2975e-06 -9.84477e-38 -0.920979 0.881897
0.580143 -5.92774e-06 -2.43659e-06 -1.10203e-38 -0.94465 0.897242
0.575409 -6.38874e-06 -2.61096e-06 -4.34367e-21 -0.969367 0.92161
0.570708 -7.52939e-06 -2.71517e-06 -9.18559e-27 -0.996092 0.985853
