# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	3.17262545e+01	5.72221940e-19	-7.57490743e+01	3.78745372e+01	4.96989819e+01	1.58631273e+01	5.37376644e+01	-2.20114099e+01	1.58631273e+01	-1.58631273e+01	1.18244447e+01	-8.75735191e+01
2               	4.49289598e+00	5.45896302e-19	-4.05345995e+00	2.02672997e+00	5.06833416e+00	2.24644799e+00	4.27317797e+00	2.19718019e-01	2.24644799e+00	-2.24644799e+00	3.04160418e+00	-7.09506413e+00
3               	-4.50413718e+00	5.41451981e-19	6.99507290e+00	-3.49753645e+00	-2.25225084e+00	-2.25206859e+00	-5.74960504e+00	1.24546786e+00	-2.25206859e+00	2.25206859e+00	1.24528560e+00	5.74978729e+00
4               	-1.41473528e+00	5.33590694e-19	9.40720773e+00	-4.70360387e+00	-3.26962243e+00	-7.07367638e-01	-5.41097150e+00	3.99623623e+00	-7.07367638e-01	7.07367638e-01	1.43398144e+00	7.97322629e+00
5               	2.23428171e-01	5.36232003e-19	1.75743968e+00	-8.78719840e-01	-8.93356653e-01	1.11714086e-01	-7.67005754e-01	9.90433925e-01	1.11714086e-01	-1.11714086e-01	-1.46368132e-02	1.77207649e+00
6               	3.98638967e-01	5.34972324e-19	-2.09477675e+00	1.04738837e+00	4.23030196e-01	1.99319484e-01	1.24670786e+00	-8.48068891e-01	1.99319484e-01	-1.99319484e-01	-6.24358179e-01	-1.47041857e+00
7               	-1.51931679e-01	5.37405497e-19	-3.25878512e+00	1.62939256e+00	5.45085727e-01	-7.59658396e-02	1.55342672e+00	-1.70535840e+00	-7.59658396e-02	7.59658396e-02	-1.08430684e+00	-2.17447829e+00
8               	-4.22697983e-01	5.36503184e-19	-3.01900139e+00	1.50950070e+00	3.39101058e-01	-2.11348991e-01	1.29815171e+00	-1.72084969e+00	-2.11348991e-01	2.11348991e-01	-1.17039964e+00	-1.84860176e+00
9               	-3.90389211e-01	5.32847063e-19	-1.32799271e+00	6.63996355e-01	-1.15115219e-01	-1.95194606e-01	4.68801749e-01	-8.59190960e-01	-1.95194606e-01	1.95194606e-01	-7.79111574e-01	-5.48881135e-01
10              	-1.25523291e-01	5.30542398e-19	-5.26230008e-01	2.63115004e-01	-8.98025816e-02	-6.27616456e-02	2.00353358e-01	-3.25876650e-01	-6.27616456e-02	6.27616456e-02	-3.52917586e-01	-1.73312423e-01
11              	6.65510143e-02	5.29964477e-19	3.77993563e-01	-1.88996782e-01	-1.49368596e-01	3.32755071e-02	-1.55721274e-01	2.22272289e-01	3.32755071e-02	-3.32755071e-02	3.96281858e-02	3.38365377e-01
12              	2.11235530e-01	5.30474610e-19	4.88750812e-01	-2.44375406e-01	-1.04472535e-02	1.05617765e-01	-1.38757641e-01	3.49993171e-01	1.05617765e-01	-1.05617765e-01	2.33928153e-01	2.54822660e-01
13              	2.29814797e-01	5.30115543e-19	5.59388821e-01	-2.79694411e-01	1.21610359e-02	1.14907399e-01	-1.64787012e-01	3.94601809e-01	1.14907399e-01	-1.14907399e-01	2.91855447e-01	2.67533375e-01
14              	2.18429954e-01	5.29780178e-19	1.47428866e-01	-7.37144329e-02	1.42405343e-01	1.09214977e-01	3.55005439e-02	1.82929410e-01	1.09214977e-01	-1.09214977e-01	2.16119776e-01	-6.86909102e-02
15              	1.52392949e-01	5.28884989e-19	-1.48101151e-01	7.40505757e-02	1.67682839e-01	7.61964743e-02	1.50247050e-01	2.14589859e-03	7.61964743e-02	-7.61964743e-02	9.36322638e-02	-2.41733415e-01
16              	1.00845028e-01	5.27905339e-19	-5.43346156e-01	2.71673078e-01	2.27383036e-01	5.04225140e-02	3.22095592e-01	-2.21250564e-01	5.04225140e-02	-5.04225140e-02	-4.42900421e-02	-4.99056113e-01
17              	3.98646912e-02	5.26613921e-19	-6.64148872e-01	3.32074436e-01	1.88920096e-01	1.99323456e-02	3.52006782e-01	-3.12142090e-01	1.99323456e-02	-1.99323456e-02	-1.43154341e-01	-5.20994532e-01
18              	1.80919898e-02	5.25545637e-19	-8.17967252e-01	4.08983626e-01	2.05748766e-01	9.04599488e-03	4.18029621e-01	-3.99937631e-01	9.04599488e-03	-9.04599488e-03	-2.03234860e-01	-6.14732392e-01
19              	7.33862922e-04	5.24328458e-19	-7.14899334e-01	3.57449667e-01	1.55157233e-01	3.66931461e-04	3.57816599e-01	-3.57082736e-01	3.66931461e-04	-3.66931461e-04	-2.02292435e-01	-5.12606900e-01
20              	1.71374499e-02	5.23350766e-19	-7.20968882e-01	3.60484441e-01	1.77459499e-01	8.56872493e-03	3.69053166e-01	-3.51915716e-01	8.56872493e-03	-8.56872493e-03	-1.83024942e-01	-5.37943940e-01
21              	2.71637553e-02	5.22128461e-19	-5.19963748e-01	2.59981874e-01	1.34077424e-01	1.35818777e-02	2.73563752e-01	-2.46399997e-01	1.35818777e-02	-1.35818777e-02	-1.25904450e-01	-3.94059298e-01
22              	5.04297519e-02	5.20815678e-19	-5.13451157e-01	2.56725578e-01	1.64477523e-01	2.52148760e-02	2.81940454e-01	-2.31510702e-01	2.52148760e-02	-2.52148760e-02	-9.22480550e-02	-4.21203102e-01
23              	5.85326572e-02	5.19450928e-19	-3.79179939e-01	1.89589969e-01	1.37778882e-01	2.92663286e-02	2.18856298e-01	-1.60323641e-01	2.92663286e-02	-2.92663286e-02	-5.18110872e-02	-3.27368852e-01
24              	7.47547813e-02	5.18463468e-19	-3.88057493e-01	1.94028747e-01	1.62636974e-01	3.73773907e-02	2.31406137e-01	-1.56651356e-01	3.73773907e-02	-3.73773907e-02	-3.13917725e-02	-3.56665721e-01
25              	7.43428572e-02	5.17148060e-19	-3.76071489e-01	1.88035745e-01	1.63417438e-01	3.71714286e-02	2.25207173e-01	-1.50864316e-01	3.71714286e-02	-3.71714286e-02	-2.46183070e-02	-3.51453182e-01
26              	8.04747808e-02	5.15968310e-19	-4.31795477e-01	2.15897739e-01	1.91083840e-01	4.02373904e-02	2.56135129e-01	-1.75660348e-01	4.02373904e-02	-4.02373904e-02	-2.48138983e-02	-4.06981579e-01
27              	7.49941638e-02	5.14794296e-19	-4.78561162e-01	2.39280581e-01	2.00503497e-01	3.74970819e-02	2.76777663e-01	-2.01783499e-01	3.74970819e-02	-3.74970819e-02	-3.87770837e-02	-4.39784078e-01
28              	7.19676637e-02	5.13786957e-19	-5.38435633e-01	2.69217816e-01	2.16027609e-01	3.59838319e-02	3.05201648e-01	-2.33233984e-01	3.59838319e-02	-3.59838319e-02	-5.31902074e-02	-4.85245425e-01
29              	6.71857156e-02	5.12878064e-19	-5.73808194e-01	2.86904097e-01	2.21147971e-01	3.35928578e-02	3.20496955e-01	-2.53311239e-01	3.35928578e-02	-3.35928578e-02	-6.57561260e-02	-5.08052068e-01
30              	6.51339883e-02	5.12017963e-19	-6.05172176e-01	3.02586088e-01	2.28854747e-01	3.25669942e-02	3.35153082e-01	-2.70019094e-01	3.25669942e-02	-3.25669942e-02	-7.37313412e-02	-5.31440835e-01
31              	6.36257445e-02	5.11193913e-19	-6.19544381e-01	3.09772190e-01	2.33015967e-01	3.18128722e-02	3.41585063e-01	-2.77959318e-01	3.18128722e-02	-3.18128722e-02	-7.67562236e-02	-5.42788157e-01
32              	6.48044164e-02	5.10437721e-19	-6.26385413e-01	3.13192707e-01	2.38771777e-01	3.24022082e-02	3.45594915e-01	-2.80790498e-01	3.24022082e-02	-3.24022082e-02	-7.44209297e-02	-5.51964484e-01
33              	6.59688374e-02	5.09821251e-19	-6.15102325e-01	3.07551163e-01	2.38507455e-01	3.29844187e-02	3.40535581e-01	-2.74566744e-01	3.29844187e-02	-3.29844187e-02	-6.90437080e-02	-5.46058617e-01
34              	6.56361562e-02	5.09598079e-19	-5.97091667e-01	2.98545833e-01	2.32439549e-01	3.28180781e-02	3.31363912e-01	-2.65727755e-01	3.28180781e-02	-3.28180781e-02	-6.61062841e-02	-5.30985383e-01
35              	6.51479140e-02	5.09420855e-19	-5.71254130e-01	2.85627065e-01	2.23909212e-01	3.25739570e-02	3.18201022e-01	-2.53053108e-01	3.25739570e-02	-3.25739570e-02	-6.17178529e-02	-5.09536277e-01
36              	6.68208742e-02	5.09282024e-19	-5.65160872e-01	2.82580436e-01	2.26053831e-01	3.34104371e-02	3.15990873e-01	-2.49169999e-01	3.34104371e-02	-3.34104371e-02	-5.65266055e-02	-5.08634267e-01
37              	6.99508967e-02	5.09120202e-19	-5.73979528e-01	2.86989764e-01	2.35456168e-01	3.49754484e-02	3.21965212e-01	-2.52014316e-01	3.49754484e-02	-3.49754484e-02	-5.15335962e-02	-5.22445932e-01
38              	7.39658795e-02	5.08922024e-19	-5.85189927e-01	2.92594963e-01	2.45884122e-01	3.69829398e-02	3.29577903e-01	-2.55612024e-01	3.69829398e-02	-3.69829398e-02	-4.67108411e-02	-5.38479086e-01
39              	7.60221569e-02	5.08704866e-19	-5.98097490e-01	2.99048745e-01	2.53862894e-01	3.80110785e-02	3.37059824e-01	-2.61037667e-01	3.80110785e-02	-3.80110785e-02	-4.51858510e-02	-5.52911639e-01
40              	7.81864928e-02	5.08465699e-19	-6.09995861e-01	3.04997930e-01	2.61212788e-01	3.90932464e-02	3.44091177e-01	-2.65904684e-01	3.90932464e-02	-3.90932464e-02	-4.37851422e-02	-5.66210719e-01
41              	7.86287469e-02	5.08231867e-19	-6.22527685e-01	3.11263842e-01	2.65997943e-01	3.93143735e-02	3.50578216e-01	-2.71949469e-01	3.93143735e-02	-3.93143735e-02	-4.52658992e-02	-5.77261786e-01
42              	7.68277414e-02	5.08038836e-19	-6.26319283e-01	3.13159642e-01	2.63065648e-01	3.84138707e-02	3.51573512e-01	-2.74745771e-01	3.84138707e-02	-3.84138707e-02	-5.00939932e-02	-5.76225290e-01
43              	7.43215107e-02	5.07885300e-19	-6.27767493e-01	3.13883747e-01	2.59165340e-01	3.71607553e-02	3.51044502e-01	-2.76722991e-01	3.71607553e-02	-3.71607553e-02	-5.47184065e-02	-5.73049087e-01
44              	7.32305702e-02	5.07763840e-19	-6.36447296e-01	3.18223648e-01	2.60982750e-01	3.66152851e-02	3.54838933e-01	-2.81608363e-01	3.66152851e-02	-3.66152851e-02	-5.72408976e-02	-5.79206398e-01
45              	7.36645404e-02	5.07646324e-19	-6.50482233e-01	3.25241116e-01	2.67402194e-01	3.68322702e-02	3.62073387e-01	-2.88408846e-01	3.68322702e-02	-3.68322702e-02	-5.78389224e-02	-5.92643310e-01
46              	7.48691570e-02	5.07533645e-19	-6.58895357e-01	3.29447679e-01	2.72984642e-01	3.74345785e-02	3.66882257e-01	-2.92013100e-01	3.74345785e-02	-3.74345785e-02	-5.64630364e-02	-6.02432321e-01
47              	7.63470205e-02	5.07443594e-19	-6.60538582e-01	3.30269291e-01	2.76552583e-01	3.81735102e-02	3.68442801e-01	-2.92095781e-01	3.81735102e-02	-3.81735102e-02	-5.37167083e-02	-6.06821874e-01
48              	7.80499358e-02	5.07361705e-19	-6.57787508e-01	3.28893754e-01	2.78708842e-01	3.90249679e-02	3.67918722e-01	-2.89868786e-01	3.90249679e-02	-3.90249679e-02	-5.01849121e-02	-6.07602596e-01
49              	7.86532931e-02	5.07283891e-19	-6.46977197e-01	3.23488598e-01	2.75443348e-01	3.93266466e-02	3.62815245e-01	-2.84161952e-01	3.93266466e-02	-3.93266466e-02	-4.80452508e-02	-5.98931946e-01
50              	7.89905339e-02	5.07221385e-19	-6.35347464e-01	3.17673732e-01	2.71692782e-01	3.94952669e-02	3.57168999e-01	-2.78178465e-01	3.94952669e-02	-3.94952669e-02	-4.59809500e-02	-5.89366514e-01
51              	7.97552559e-02	5.07165895e-19	-6.33625656e-01	3.16812828e-01	2.72554475e-01	3.98776280e-02	3.56690456e-01	-2.76935200e-01	3.98776280e-02	-3.98776280e-02	-4.42583529e-02	-5.89367303e-01
52              	8.11448655e-02	5.07102932e-19	-6.43605820e-01	3.21802910e-01	2.78558700e-01	4.05724327e-02	3.62375343e-01	-2.81230478e-01	4.05724327e-02	-4.05724327e-02	-4.32442100e-02	-6.00361611e-01
53              	8.20585233e-02	5.07026305e-19	-6.56302637e-01	3.28151318e-01	2.84784488e-01	4.10292617e-02	3.69180580e-01	-2.87122057e-01	4.10292617e-02	-4.10292617e-02	-4.33668306e-02	-6.12935806e-01
54              	8.24218255e-02	5.06927946e-19	-6.65972452e-01	3.32986226e-01	2.88987478e-01	4.12109128e-02	3.74197139e-01	-2.91775313e-01	4.12109128e-02	-4.12109128e-02	-4.39987480e-02	-6.21973704e-01
55              	8.24751469e-02	5.06843643e-19	-6.73810441e-01	3.36905221e-01	2.91852659e-01	4.12375734e-02	3.78142794e-01	-2.95667647e-01	4.12375734e-02	-4.12375734e-02	-4.50525618e-02	-6.28757880e-01
56              	8.17957846e-02	5.06777120e-19	-6.73810120e-01	3.36905060e-01	2.90340497e-01	4.08978923e-02	3.77802952e-01	-2.96007167e-01	4.08978923e-02	-4.08978923e-02	-4.65645628e-02	-6.27245557e-01
57              	8.10688813e-02	5.06739697e-19	-6.72149109e-01	3.36074555e-01	2.88424198e-01	4.05344406e-02	3.76608995e-01	-2.95540114e-01	4.05344406e-02	-4.05344406e-02	-4.76503565e-02	-6.24498753e-01
58              	8.10446500e-02	5.06712908e-19	-6.72627166e-01	3.36313583e-01	2.88695817e-01	4.05223250e-02	3.76835908e-01	-2.95791258e-01	4.05223250e-02	-4.05223250e-02	-4.76177658e-02	-6.25009401e-01
59              	8.18835143e-02	5.06677761e-19	-6.77049674e-01	3.38524837e-01	2.91834491e-01	4.09417571e-02	3.79466594e-01	-2.97583080e-01	4.09417571e-02	-4.09417571e-02	-4.66903466e-02	-6.30359328e-01
60              	8.28660330e-02	5.06622977e-19	-6.81732153e-01	3.40866077e-01	2.95289488e-01	4.14330165e-02	3.82299093e-01	-2.99433060e-01	4.14330165e-02	-4.14330165e-02	-4.55765883e-02	-6.36155565e-01
61              	8.36780387e-02	5.06539040e-19	-6.84357480e-01	3.42178740e-01	2.97826904e-01	4.18390193e-02	3.84017759e-01	-3.00339721e-01	4.18390193e-02	-4.18390193e-02	-4.43518355e-02	-6.40005644e-01
62              	8.42063134e-02	5.06427848e-19	-6.84803029e-01	3.42401515e-01	2.99168941e-01	4.21031567e-02	3.84504671e-01	-3.00298358e-01	4.21031567e-02	-4.21031567e-02	-4.32325732e-02	-6.41570456e-01
63              	8.41691570e-02	5.06313113e-19	-6.82240571e-01	3.41120285e-01	2.98250695e-01	4.20845785e-02	3.83204864e-01	-2.99035707e-01	4.20845785e-02	-4.20845785e-02	-4.28695902e-02	-6.39370981e-01
64              	8.40355820e-02	5.06219813e-19	-6.79810025e-01	3.39905013e-01	2.97296085e-01	4.20177910e-02	3.81922804e-01	-2.97887222e-01	4.20177910e-02	-4.20177910e-02	-4.26089274e-02	-6.37201098e-01
65              	8.41224840e-02	5.06145089e-19	-6.81050120e-01	3.40525060e-01	2.98115560e-01	4.20612420e-02	3.82586302e-01	-2.98463818e-01	4.20612420e-02	-4.20612420e-02	-4.24095001e-02	-6.38640620e-01
66              	8.43999582e-02	5.06086289e-19	-6.85214431e-01	3.42607216e-01	3.00256303e-01	4.21999791e-02	3.84807195e-01	-3.00407237e-01	4.21999791e-02	-4.21999791e-02	-4.23509125e-02	-6.42863519e-01
67              	8.47012347e-02	5.06046067e-19	-6.89518669e-01	3.44759334e-01	3.02492379e-01	4.23506173e-02	3.87109952e-01	-3.02408717e-01	4.23506173e-02	-4.23506173e-02	-4.22669559e-02	-6.47251713e-01
68              	8.48878574e-02	5.05999674e-19	-6.92560482e-01	3.46280241e-01	3.04048509e-01	4.24439287e-02	3.88724170e-01	-3.03836312e-01	4.24439287e-02	-4.24439287e-02	-4.22317319e-02	-6.50328750e-01
69              	8.49649222e-02	5.05947282e-19	-6.94867819e-01	3.47433910e-01	3.05141091e-01	4.24824611e-02	3.89916371e-01	-3.04951449e-01	4.24824611e-02	-4.24824611e-02	-4.22928184e-02	-6.52575001e-01
70              	8.48667930e-02	5.05882728e-19	-6.95617496e-01	3.47808748e-01	3.05242054e-01	4.24333965e-02	3.90242145e-01	-3.05375352e-01	4.24333965e-02	-4.24333965e-02	-4.25666937e-02	-6.53050802e-01
71              	8.47206826e-02	5.05793353e-19	-6.95604972e-01	3.47802486e-01	3.04974265e-01	4.23603413e-02	3.90162827e-01	-3.05442145e-01	4.23603413e-02	-4.23603413e-02	-4.28282215e-02	-6.52776751e-01
72              	8.46288314e-02	5.05670833e-19	-6.95859030e-01	3.47929515e-01	3.05055249e-01	4.23144157e-02	3.90243930e-01	-3.05615099e-01	4.23144157e-02	-4.23144157e-02	-4.28742653e-02	-6.52984764e-01
73              	8.46687646e-02	5.05541111e-19	-6.96779658e-01	3.48389829e-01	3.05650847e-01	4.23343823e-02	3.90724211e-01	-3.06055447e-01	4.23343823e-02	-4.23343823e-02	-4.27389820e-02	-6.54040676e-01
74              	8.47963153e-02	5.05410351e-19	-6.98253763e-01	3.49126882e-01	3.06641679e-01	4.23981577e-02	3.91525039e-01	-3.06728724e-01	4.23981577e-02	-4.23981577e-02	-4.24852032e-02	-6.55768560e-01
75              	8.49110693e-02	5.05290058e-19	-6.99340707e-01	3.49670354e-01	3.07475981e-01	4.24555347e-02	3.92125888e-01	-3.07214819e-01	4.24555347e-02	-4.24555347e-02	-4.21943723e-02	-6.57146335e-01
76              	8.49276916e-02	5.05186645e-19	-6.99821298e-01	3.49910649e-01	3.08013121e-01	4.24638458e-02	3.92374495e-01	-3.07446803e-01	4.24638458e-02	-4.24638458e-02	-4.18975285e-02	-6.57923770e-01
77              	8.49248144e-02	5.05102105e-19	-7.00178215e-01	3.50089108e-01	3.08513241e-01	4.24624072e-02	3.92551515e-01	-3.07626700e-01	4.24624072e-02	-4.24624072e-02	-4.15758667e-02	-6.58602349e-01
78              	8.47823902e-02	5.05031625e-19	-6.99795425e-01	3.49897712e-01	3.08528537e-01	4.23911951e-02	3.92288907e-01	-3.07506517e-01	4.23911951e-02	-4.23911951e-02	-4.13691750e-02	-6.58426250e-01
79              	8.45658461e-02	5.04972073e-19	-6.98898786e-01	3.49449393e-01	3.08188777e-01	4.22829230e-02	3.91732316e-01	-3.07166470e-01	4.22829230e-02	-4.22829230e-02	-4.12606159e-02	-6.57638170e-01
80              	8.43210014e-02	5.04910394e-19	-6.97915771e-01	3.48957885e-01	3.07759447e-01	4.21605007e-02	3.91118386e-01	-3.06797385e-01	4.21605007e-02	-4.21605007e-02	-4.11984380e-02	-6.56717333e-01
81              	8.40916107e-02	5.04831300e-19	-6.97424762e-01	3.48712381e-01	3.07537759e-01	4.20458053e-02	3.90758186e-01	-3.06666576e-01	4.20458053e-02	-4.20458053e-02	-4.11746221e-02	-6.56250140e-01
82              	8.39261227e-02	5.04741758e-19	-6.97568888e-01	3.48784444e-01	3.07581327e-01	4.19630614e-02	3.90747506e-01	-3.06821383e-01	4.19630614e-02	-4.19630614e-02	-4.12031172e-02	-6.56365771e-01
83              	8.38448627e-02	5.04648052e-19	-6.98405331e-01	3.49202665e-01	3.07945235e-01	4.19224314e-02	3.91125097e-01	-3.07280234e-01	4.19224314e-02	-4.19224314e-02	-4.12574307e-02	-6.57147900e-01
84              	8.38267394e-02	5.04547894e-19	-6.99559564e-01	3.49779782e-01	3.08480270e-01	4.19133697e-02	3.91693152e-01	-3.07866412e-01	4.19133697e-02	-4.19133697e-02	-4.12995117e-02	-6.58260052e-01
85              	8.37657910e-02	5.04451222e-19	-7.00308940e-01	3.50154470e-01	3.08828992e-01	4.18828955e-02	3.92037366e-01	-3.08271575e-01	4.18828955e-02	-4.18828955e-02	-4.13254780e-02	-6.58983462e-01
86              	8.36852753e-02	5.04372072e-19	-7.01027609e-01	3.50513804e-01	3.09173894e-01	4.18426376e-02	3.92356442e-01	-3.08671167e-01	4.18426376e-02	-4.18426376e-02	-4.13399103e-02	-6.59687698e-01
87              	8.36098998e-02	5.04301317e-19	-7.01748932e-01	3.50874466e-01	3.09559202e-01	4.18049499e-02	3.92679416e-01	-3.09069516e-01	4.18049499e-02	-4.18049499e-02	-4.13152644e-02	-6.60433668e-01
88              	8.35232517e-02	5.04239217e-19	-7.02184439e-01	3.51092219e-01	3.09844553e-01	4.17616259e-02	3.92853845e-01	-3.09330594e-01	4.17616259e-02	-4.17616259e-02	-4.12476663e-02	-6.60936772e-01
89              	8.33881499e-02	5.04177769e-19	-7.02122294e-01	3.51061147e-01	3.09907857e-01	4.16940749e-02	3.92755222e-01	-3.09367072e-01	4.16940749e-02	-4.16940749e-02	-4.11532899e-02	-6.60969004e-01
90              	8.32022033e-02	5.04115537e-19	-7.01759186e-01	3.50879593e-01	3.09840147e-01	4.16011016e-02	3.92480695e-01	-3.09278491e-01	4.16011016e-02	-4.16011016e-02	-4.10394459e-02	-6.60719740e-01
91              	8.29662075e-02	5.04049564e-19	-7.01107628e-01	3.50553814e-01	3.09656217e-01	4.14831038e-02	3.92036918e-01	-3.09070710e-01	4.14831038e-02	-4.14831038e-02	-4.08975970e-02	-6.60210031e-01
92              	8.27073355e-02	5.03980473e-19	-7.00240800e-01	3.50120400e-01	3.09369344e-01	4.13536678e-02	3.91474068e-01	-3.08766732e-01	4.13536678e-02	-4.13536678e-02	-4.07510562e-02	-6.59489744e-01
93              	8.24683707e-02	5.03912515e-19	-6.99324817e-01	3.49662408e-01	3.09070935e-01	4.12341854e-02	3.90896594e-01	-3.08428223e-01	4.12341854e-02	-4.12341854e-02	-4.05914732e-02	-6.58733343e-01
94              	8.22533534e-02	5.03867383e-19	-6.98530626e-01	3.49265313e-01	3.08837592e-01	4.11266767e-02	3.90391990e-01	-3.08138636e-01	4.11266767e-02	-4.11266767e-02	-4.04277208e-02	-6.58102905e-01
95              	8.20754878e-02	5.03828516e-19	-6.97991764e-01	3.48995882e-01	3.08716922e-01	4.10377439e-02	3.90033626e-01	-3.07958138e-01	4.10377439e-02	-4.10377439e-02	-4.02789605e-02	-6.57712804e-01
96              	8.19165973e-02	5.03794466e-19	-6.97680254e-01	3.48840127e-01	3.08702543e-01	4.09582986e-02	3.89798426e-01	-3.07881828e-01	4.09582986e-02	-4.09582986e-02	-4.01375844e-02	-6.57542669e-01
97              	8.17889617e-02	5.03774170e-19	-6.97633339e-01	3.48816669e-01	3.08785253e-01	4.08944808e-02	3.89711150e-01	-3.07922188e-01	4.08944808e-02	-4.08944808e-02	-4.00314167e-02	-6.57601922e-01
98              	8.17308772e-02	5.03754564e-19	-6.98347901e-01	3.49173951e-01	3.09176469e-01	4.08654386e-02	3.90039389e-01	-3.08308512e-01	4.08654386e-02	-4.08654386e-02	-3.99974811e-02	-6.58350420e-01
99              	8.16593029e-02	5.03730191e-19	-6.99013436e-01	3.49506718e-01	3.09530442e-01	4.08296515e-02	3.90336370e-01	-3.08677067e-01	4.08296515e-02	-4.08296515e-02	-3.99762758e-02	-6.59037161e-01
100             	8.16080508e-02	5.03706771e-19	-6.99927903e-01	3.49963952e-01	3.10009781e-01	4.08040254e-02	3.90767977e-01	-3.09159926e-01	4.08040254e-02	-4.08040254e-02	-3.99541706e-02	-6.59973733e-01
101             	8.15292451e-02	5.03680759e-19	-7.00705170e-01	3.50352585e-01	3.10437261e-01	4.07646225e-02	3.91117208e-01	-3.09587963e-01	4.07646225e-02	-4.07646225e-02	-3.99153243e-02	-6.60789846e-01
102             	8.14298899e-02	5.03659669e-19	-7.01184059e-01	3.50592030e-01	3.10754962e-01	4.07149450e-02	3.91306975e-01	-3.09877085e-01	4.07149450e-02	-4.07149450e-02	-3.98370671e-02	-6.61346992e-01
103             	8.13222935e-02	5.03636890e-19	-7.01496935e-01	3.50748468e-01	3.11023157e-01	4.06611467e-02	3.91409614e-01	-3.10087321e-01	4.06611467e-02	-4.06611467e-02	-3.97253110e-02	-6.61771624e-01
104             	8.12131528e-02	5.03612340e-19	-7.01516809e-01	3.50758404e-01	3.11203716e-01	4.06065764e-02	3.91364981e-01	-3.10151828e-01	4.06065764e-02	-4.06065764e-02	-3.95546884e-02	-6.61962120e-01
105             	8.11483652e-02	5.03595832e-19	-7.01417195e-01	3.50708598e-01	3.11405506e-01	4.05741826e-02	3.91282780e-01	-3.10134415e-01	4.05741826e-02	-4.05741826e-02	-3.93030919e-02	-6.62114103e-01
