# Wall shear stress
# Time          	patch           	min             	max             
100             	Airfoil	(-1.37358705e-04 -1.50871543e-04 -3.29493211e-20)	(1.38961124e-05 8.36507425e-05 2.80228197e-20)
200             	Airfoil	(-1.42052789e-04 -1.96359670e-04 -3.49141181e-20)	(3.15775235e-05 9.09028236e-05 3.55952161e-20)
300             	Airfoil	(-1.58594509e-04 -1.54723967e-04 -3.56229639e-20)	(2.90731397e-05 6.99073949e-05 3.95969250e-20)
400             	Airfoil	(-1.44517863e-04 -2.06302366e-04 -3.14687227e-20)	(3.75411085e-05 7.00937256e-05 3.93246999e-20)
500             	Airfoil	(-1.56868440e-04 -1.92445516e-04 -3.02851161e-20)	(3.11757719e-05 7.66522929e-05 3.87446805e-20)
600             	Airfoil	(-1.57172375e-04 -1.89940516e-04 -2.85735791e-20)	(2.94182039e-05 8.21569730e-05 3.81170467e-20)
700             	Airfoil	(-1.57611243e-04 -1.87213003e-04 -2.73394221e-20)	(2.79063645e-05 8.72596648e-05 3.71241017e-20)
800             	Airfoil	(-1.57608470e-04 -1.84751831e-04 -2.61407233e-20)	(2.66344491e-05 9.15575462e-05 3.56933039e-20)
900             	Airfoil	(-1.57232875e-04 -1.82755078e-04 -2.44515600e-20)	(2.57050209e-05 9.50553435e-05 3.30239691e-20)
1000            	Airfoil	(-1.57000458e-04 -1.81392245e-04 -2.31991880e-20)	(2.50150569e-05 9.76721938e-05 3.16220798e-20)
1100            	Airfoil	(-1.56815630e-04 -1.80444175e-04 -2.31038285e-20)	(2.45719836e-05 9.96342232e-05 3.15884485e-20)
1200            	Airfoil	(-1.56724828e-04 -1.79717643e-04 -2.31713984e-20)	(2.42243282e-05 1.01214646e-04 3.14729377e-20)
1300            	Airfoil	(-1.56659658e-04 -1.79048275e-04 -2.29746319e-20)	(2.38824136e-05 1.02481070e-04 3.12519242e-20)
1400            	Airfoil	(-1.56554703e-04 -1.78534043e-04 -2.27776675e-20)	(2.36202765e-05 1.03430887e-04 3.07159161e-20)
1500            	Airfoil	(-1.56456067e-04 -1.78143990e-04 -2.25269733e-20)	(2.34260774e-05 1.04144432e-04 3.08351160e-20)
1600            	Airfoil	(-1.56398081e-04 -1.77855788e-04 -2.26157141e-20)	(2.32777031e-05 1.04710853e-04 3.08468456e-20)
1700            	Airfoil	(-1.56352590e-04 -1.77607861e-04 -2.26345572e-20)	(2.31546378e-05 1.05163430e-04 3.05384975e-20)
1800            	Airfoil	(-1.56302201e-04 -1.77392014e-04 -2.24571360e-20)	(2.30541270e-05 1.05554043e-04 3.08032250e-20)
1900            	Airfoil	(-1.56266983e-04 -1.77195018e-04 -2.26344190e-20)	(2.29619259e-05 1.05914390e-04 3.09454948e-20)
2000            	Airfoil	(-1.56227302e-04 -1.76992520e-04 -2.26900161e-20)	(2.28712409e-05 1.06258943e-04 3.08057802e-20)
2100            	Airfoil	(-1.56184795e-04 -1.76788486e-04 -2.25005082e-20)	(2.27795595e-05 1.06606385e-04 3.09268845e-20)
2200            	Airfoil	(-1.56146983e-04 -1.76584226e-04 -2.26127581e-20)	(2.26855091e-05 1.06949391e-04 3.09769161e-20)
2300            	Airfoil	(-1.56105056e-04 -1.76383760e-04 -2.26352459e-20)	(2.25960149e-05 1.07283767e-04 3.08612605e-20)
2400            	Airfoil	(-1.56062332e-04 -1.76184417e-04 -2.24618467e-20)	(2.25081846e-05 1.07619889e-04 3.09102492e-20)
2500            	Airfoil	(-1.56022165e-04 -1.75980205e-04 -2.25766923e-20)	(2.24164386e-05 1.07955761e-04 3.09551753e-20)
2600            	Airfoil	(-1.55978435e-04 -1.75771786e-04 -2.25856175e-20)	(2.23243855e-05 1.08290924e-04 3.08685961e-20)
2700            	Airfoil	(-1.55929531e-04 -1.75564053e-04 -2.24158191e-20)	(2.22342740e-05 1.08619463e-04 3.08546688e-20)
2800            	Airfoil	(-1.55883689e-04 -1.75372533e-04 -2.25307166e-20)	(2.21489191e-05 1.08932611e-04 3.09027964e-20)
2900            	Airfoil	(-1.55844739e-04 -1.75197155e-04 -2.25415435e-20)	(2.20707589e-05 1.09234111e-04 3.08516527e-20)
3000            	Airfoil	(-1.55814637e-04 -1.75033201e-04 -2.23734859e-20)	(2.19955941e-05 1.09531857e-04 3.07892669e-20)
3100            	Airfoil	(-1.55791212e-04 -1.74874731e-04 -2.24660250e-20)	(2.19198853e-05 1.09822115e-04 3.08192086e-20)
3200            	Airfoil	(-1.55766381e-04 -1.74719784e-04 -2.24915636e-20)	(2.18471211e-05 1.10101563e-04 3.08062276e-20)
3300            	Airfoil	(-1.55742341e-04 -1.74570350e-04 -2.23452303e-20)	(2.17767252e-05 1.10373494e-04 3.07364790e-20)
3400            	Airfoil	(-1.55719751e-04 -1.74427763e-04 -2.23922834e-20)	(2.17082771e-05 1.10632553e-04 3.07310895e-20)
3500            	Airfoil	(-1.55696788e-04 -1.74291263e-04 -2.24309513e-20)	(2.16440622e-05 1.10879327e-04 3.07403346e-20)
3600            	Airfoil	(-1.55674701e-04 -1.74159921e-04 -2.23256012e-20)	(2.15820244e-05 1.11116530e-04 3.06899219e-20)
3700            	Airfoil	(-1.55653737e-04 -1.74033578e-04 -2.23409809e-20)	(2.15221424e-05 1.11342958e-04 3.06674459e-20)
3800            	Airfoil	(-1.55631930e-04 -1.73911963e-04 -2.23735498e-20)	(2.14653115e-05 1.11557078e-04 3.06774428e-20)
3900            	Airfoil	(-1.55610127e-04 -1.73795624e-04 -2.23030825e-20)	(2.14113385e-05 1.11761584e-04 3.06426714e-20)
4000            	Airfoil	(-1.55589419e-04 -1.73683945e-04 -2.23062109e-20)	(2.13592489e-05 1.11957200e-04 3.06189895e-20)
4100            	Airfoil	(-1.55567641e-04 -1.73576067e-04 -2.23278035e-20)	(2.13096976e-05 1.12142478e-04 3.06247561e-20)
4200            	Airfoil	(-1.55546766e-04 -1.73473354e-04 -2.22801077e-20)	(2.12632018e-05 1.12319171e-04 3.05998073e-20)
4300            	Airfoil	(-1.55526190e-04 -1.73374711e-04 -2.22776698e-20)	(2.12181669e-05 1.12486507e-04 3.05780753e-20)
4400            	Airfoil	(-1.55506058e-04 -1.73279395e-04 -2.22903693e-20)	(2.11757070e-05 1.12645204e-04 3.05804366e-20)
4500            	Airfoil	(-1.55485773e-04 -1.73189621e-04 -2.22577511e-20)	(2.11347726e-05 1.12795513e-04 3.05605939e-20)
4600            	Airfoil	(-1.55466608e-04 -1.73103313e-04 -2.22535914e-20)	(2.10966810e-05 1.12938113e-04 3.05436479e-20)
4700            	Airfoil	(-1.55447569e-04 -1.73021041e-04 -2.22607383e-20)	(2.10599890e-05 1.13072726e-04 3.05438542e-20)
4800            	Airfoil	(-1.55429145e-04 -1.72941889e-04 -2.22396416e-20)	(2.10249181e-05 1.13201026e-04 3.05299599e-20)
4900            	Airfoil	(-1.55411393e-04 -1.72867487e-04 -2.22347551e-20)	(2.09918149e-05 1.13322445e-04 3.05159652e-20)
5000            	Airfoil	(-1.55393643e-04 -1.72795720e-04 -2.22378267e-20)	(2.09610068e-05 1.13436730e-04 3.05143891e-20)
5100            	Airfoil	(-1.55376954e-04 -1.72727331e-04 -2.22222314e-20)	(2.09298643e-05 1.13545777e-04 3.05023111e-20)
5200            	Airfoil	(-1.55360792e-04 -1.72662193e-04 -2.22183713e-20)	(2.09017009e-05 1.13649650e-04 3.04917591e-20)
5300            	Airfoil	(-1.55344996e-04 -1.72600630e-04 -2.22185880e-20)	(2.08739260e-05 1.13746217e-04 3.04883635e-20)
5400            	Airfoil	(-1.55329988e-04 -1.72541581e-04 -2.22088359e-20)	(2.08489585e-05 1.13838507e-04 3.04803159e-20)
5500            	Airfoil	(-1.55315800e-04 -1.72485709e-04 -2.22051181e-20)	(2.08245611e-05 1.13926005e-04 3.04717587e-20)
5600            	Airfoil	(-1.55301761e-04 -1.72432885e-04 -2.22032778e-20)	(2.08021406e-05 1.14008586e-04 3.04670931e-20)
5700            	Airfoil	(-1.55288160e-04 -1.72382164e-04 -2.21957385e-20)	(2.07801506e-05 1.14086827e-04 3.04594081e-20)
5800            	Airfoil	(-1.55275748e-04 -1.72334223e-04 -2.21920736e-20)	(2.07585004e-05 1.14160769e-04 3.04520171e-20)
5900            	Airfoil	(-1.55263559e-04 -1.72288355e-04 -2.21899861e-20)	(2.07381151e-05 1.14230902e-04 3.04483349e-20)
6000            	Airfoil	(-1.55252265e-04 -1.72245290e-04 -2.21850685e-20)	(2.07198138e-05 1.14297055e-04 3.04426228e-20)
6100            	Airfoil	(-1.55240140e-04 -1.72203922e-04 -2.21818726e-20)	(2.07028367e-05 1.14359384e-04 3.04366926e-20)
6200            	Airfoil	(-1.55229742e-04 -1.72165359e-04 -2.21796188e-20)	(2.06853314e-05 1.14417827e-04 3.04329543e-20)
6300            	Airfoil	(-1.55219035e-04 -1.72127614e-04 -2.21758710e-20)	(2.06702861e-05 1.14473526e-04 3.04282612e-20)
6400            	Airfoil	(-1.55208813e-04 -1.72092956e-04 -2.21736278e-20)	(2.06565036e-05 1.14525520e-04 3.04239051e-20)
6500            	Airfoil	(-1.55199779e-04 -1.72059266e-04 -2.21708664e-20)	(2.06400444e-05 1.14575092e-04 3.04202445e-20)
6600            	Airfoil	(-1.55190260e-04 -1.72027581e-04 -2.21684043e-20)	(2.06273135e-05 1.14621687e-04 3.04164521e-20)
6700            	Airfoil	(-1.55180877e-04 -1.71997011e-04 -2.21656999e-20)	(2.06153841e-05 1.14665848e-04 3.04121981e-20)
6800            	Airfoil	(-1.55172282e-04 -1.71968610e-04 -2.21638755e-20)	(2.06040639e-05 1.14707223e-04 3.04086320e-20)
6900            	Airfoil	(-1.55163739e-04 -1.71941276e-04 -2.21614825e-20)	(2.05931426e-05 1.14745953e-04 3.04054474e-20)
7000            	Airfoil	(-1.55155910e-04 -1.71915389e-04 -2.21593560e-20)	(2.05826061e-05 1.14782661e-04 3.04025550e-20)
7100            	Airfoil	(-1.55148143e-04 -1.71890899e-04 -2.21582942e-20)	(2.05724372e-05 1.14817006e-04 3.04000969e-20)
7200            	Airfoil	(-1.55141068e-04 -1.71867682e-04 -2.21563772e-20)	(2.05625576e-05 1.14849191e-04 3.03977163e-20)
7300            	Airfoil	(-1.55134290e-04 -1.71845193e-04 -2.21549667e-20)	(2.05528916e-05 1.14879948e-04 3.03951427e-20)
7400            	Airfoil	(-1.55127533e-04 -1.71824279e-04 -2.21536489e-20)	(2.05438867e-05 1.14908744e-04 3.03931463e-20)
7500            	Airfoil	(-1.55121145e-04 -1.71804456e-04 -2.21523636e-20)	(2.05355294e-05 1.14935348e-04 3.03903479e-20)
7600            	Airfoil	(-1.55113555e-04 -1.71785332e-04 -2.21502896e-20)	(2.05308600e-05 1.14960715e-04 3.03881306e-20)
7700            	Airfoil	(-1.55107901e-04 -1.71767786e-04 -2.21501823e-20)	(2.05226822e-05 1.14984203e-04 3.03871759e-20)
7800            	Airfoil	(-1.55102407e-04 -1.71750306e-04 -2.21487379e-20)	(2.05145226e-05 1.15006463e-04 3.03853572e-20)
8000            	Airfoil	(-1.55090352e-04 -1.71718773e-04 -2.21468843e-20)	(2.05035997e-05 1.15046677e-04 3.03819159e-20)
9000            	Airfoil	(-1.55043390e-04 -1.71600632e-04 -2.21407553e-20)	(2.04593847e-05 1.15180998e-04 3.03708037e-20)
10000           	Airfoil	(-1.55006882e-04 -1.71528769e-04 -2.21380020e-20)	(2.04369819e-05 1.15240663e-04 3.03656748e-20)
