# y+ ()         
# Time          	patch           	min             	max             	average         
100             	Ground	6.98446755e-02	3.46698076e+00	1.19617922e+00
100             	Airfoil	4.68463367e-01	4.33114550e+00	2.26229018e+00
200             	Ground	1.49746708e-01	3.85755905e+00	1.39495232e+00
200             	Airfoil	3.70337720e-01	4.90346154e+00	2.18169865e+00
300             	Ground	1.67712191e-01	3.34789180e+00	1.46034110e+00
300             	Airfoil	2.47183669e-01	4.55617472e+00	2.08544422e+00
400             	Ground	2.59051999e-01	2.92826830e+00	1.52117644e+00
400             	Airfoil	2.72904658e-01	5.02787333e+00	2.04998538e+00
500             	Ground	4.59940254e-02	3.05819827e+00	1.58098241e+00
500             	Airfoil	2.93537383e-01	4.85529986e+00	2.04430150e+00
600             	Ground	7.85205490e-02	3.14702791e+00	1.61377204e+00
600             	Airfoil	2.93745579e-01	4.82393896e+00	2.06240637e+00
700             	Ground	1.32108568e-01	2.99695412e+00	1.62235202e+00
700             	Airfoil	1.62316751e-01	4.78945399e+00	2.08559427e+00
800             	Ground	2.77857002e-01	2.85311734e+00	1.59872424e+00
800             	Airfoil	2.83360605e-01	4.83500085e+00	2.13151152e+00
900             	Ground	1.55995590e-01	2.99122123e+00	1.57795379e+00
900             	Airfoil	2.88566385e-01	4.92744612e+00	2.14720289e+00
1000            	Ground	2.77826070e-01	2.66051530e+00	1.54110418e+00
1000            	Airfoil	2.74657921e-01	4.99545926e+00	2.15223479e+00
1100            	Ground	2.62179837e-01	2.16802822e+00	1.51996039e+00
1100            	Airfoil	2.87256452e-01	5.04541065e+00	2.17002807e+00
1200            	Ground	1.64996433e-01	2.29723849e+00	1.50222679e+00
1200            	Airfoil	2.90535765e-01	5.08547929e+00	2.18514229e+00
1300            	Ground	7.03771393e-02	2.14518240e+00	1.48838517e+00
1300            	Airfoil	2.87758188e-01	5.11763829e+00	2.19233388e+00
1400            	Ground	1.59515672e-01	1.94415898e+00	1.47586637e+00
1400            	Airfoil	2.84927212e-01	5.14157115e+00	2.19850975e+00
1500            	Ground	2.05425556e-01	2.01776578e+00	1.46756992e+00
1500            	Airfoil	2.89557802e-01	5.15934024e+00	2.20302209e+00
1600            	Ground	2.34465268e-01	1.94408524e+00	1.46147201e+00
1600            	Airfoil	2.92358295e-01	5.17348137e+00	2.20618501e+00
1700            	Ground	2.55395476e-01	1.89659237e+00	1.45944941e+00
1700            	Airfoil	2.92001011e-01	5.18474167e+00	2.20937302e+00
1800            	Ground	2.81838307e-01	1.93180206e+00	1.45936685e+00
1800            	Airfoil	2.89691605e-01	5.19439532e+00	2.21170750e+00
1900            	Ground	3.06445236e-01	1.90962065e+00	1.46134593e+00
1900            	Airfoil	2.47160456e-01	5.20333294e+00	2.21461418e+00
2000            	Ground	3.12210984e-01	1.90754483e+00	1.46428646e+00
2000            	Airfoil	1.88691469e-01	5.21183425e+00	2.21774464e+00
2100            	Ground	2.89760801e-01	1.93702175e+00	1.46753628e+00
2100            	Airfoil	1.52369272e-01	5.22040864e+00	2.21995357e+00
2200            	Ground	2.67127869e-01	1.93039543e+00	1.47008514e+00
2200            	Airfoil	2.00477702e-01	5.22888665e+00	2.22244229e+00
2300            	Ground	2.42992498e-01	1.92667413e+00	1.47167360e+00
2300            	Airfoil	2.56067223e-01	5.23710251e+00	2.22512908e+00
2400            	Ground	2.15947364e-01	1.94942737e+00	1.47311281e+00
2400            	Airfoil	2.87844944e-01	5.24535594e+00	2.22724159e+00
2500            	Ground	1.86147626e-01	1.95107960e+00	1.47404013e+00
2500            	Airfoil	2.87189929e-01	5.25361980e+00	2.22952465e+00
2600            	Ground	1.51345412e-01	1.94926152e+00	1.47502867e+00
2600            	Airfoil	2.86995641e-01	5.26184434e+00	2.23192594e+00
2700            	Ground	1.07350589e-01	1.96268088e+00	1.47611888e+00
2700            	Airfoil	2.86943268e-01	5.26988924e+00	2.23389578e+00
2800            	Ground	4.73448171e-02	1.96624142e+00	1.47728630e+00
2800            	Airfoil	2.87086490e-01	5.27753512e+00	2.23597483e+00
2900            	Ground	9.77603998e-02	1.96519383e+00	1.47879662e+00
2900            	Airfoil	2.87434894e-01	5.28486738e+00	2.23813634e+00
3000            	Ground	1.38406071e-01	1.97336491e+00	1.47994446e+00
3000            	Airfoil	2.87767231e-01	5.29210356e+00	2.23994819e+00
3100            	Ground	1.67036845e-01	1.97432053e+00	1.48074616e+00
3100            	Airfoil	2.88077765e-01	5.29916361e+00	2.24183678e+00
3200            	Ground	1.89823522e-01	1.97288212e+00	1.48161327e+00
