# ccx tau_xx tau_yy tau_zz cp yplus
0.996464 2.5351e-06 4.34781e-07 -2.2138e-20 -0.324101 1.10867
0.988953 5.9556e-06 2.04449e-06 3.03657e-20 -0.326293 1.97817
0.980947 7.22003e-06 1.82159e-06 1.64299e-20 -0.345222 2.2005
0.972985 6.48277e-06 1.77847e-06 -1.74341e-20 -0.345932 2.0468
0.965205 6.6288e-06 1.88268e-06 -1.81459e-20 -0.355079 2.03038
0.957562 6.11031e-06 1.71855e-06 1.88721e-20 -0.359818 1.9226
0.950013 5.52687e-06 1.52157e-06 9.52232e-24 -0.363778 1.8041
0.942557 5.0418e-06 1.37861e-06 -9.83436e-24 -0.365848 1.6975
0.935198 4.75328e-06 1.29175e-06 -7.98129e-28 -0.368099 1.62276
0.927925 4.57296e-06 1.23495e-06 -1.09652e-37 -0.370022 1.56685
0.920729 4.43794e-06 1.17151e-06 0 -0.372316 1.52168
0.913605 4.34047e-06 1.12644e-06 1.0895e-20 -0.374332 1.48302
0.906551 4.31387e-06 1.09862e-06 -1.10506e-20 -0.376671 1.4571
0.899565 4.29728e-06 1.07706e-06 -1.12202e-20 -0.379082 1.43346
0.892647 4.31849e-06 1.07231e-06 1.13591e-20 -0.381605 1.4155
0.885793 4.33688e-06 1.06135e-06 0 -0.384356 1.39827
0.879002 4.35484e-06 1.05699e-06 0 -0.387103 1.38048
0.87227 4.36385e-06 1.04308e-06 -1.17094e-20 -0.390038 1.36256
0.865595 4.3715e-06 1.03526e-06 -2.31666e-23 -0.39293 1.34394
0.858974 4.36201e-06 1.01437e-06 1.19873e-20 -0.396 1.3244
0.852405 4.36609e-06 1.00651e-06 1.20908e-20 -0.398959 1.30574
0.845887 4.34368e-06 9.77828e-07 -1.22107e-20 -0.402195 1.28593
0.839418 4.33541e-06 9.70051e-07 -1.23426e-20 -0.405186 1.26584
0.833004 4.31562e-06 9.42104e-07 -2.44227e-23 -0.408543 1.24727
0.826639 4.28761e-06 9.28897e-07 1.66142e-27 -0.411637 1.22553
0.820321 4.28044e-06 9.11181e-07 -2.48879e-23 -0.415018 1.2082
0.814046 4.24916e-06 8.91747e-07 2.51128e-23 -0.418343 1.18774
0.807817 4.24729e-06 8.82735e-07 1.29597e-20 -0.421743 1.17049
0.801638 4.21993e-06 8.58578e-07 5.12516e-23 -0.425318 1.15221
0.795505 4.19162e-06 8.46451e-07 1.32063e-20 -0.428788 1.13195
0.789412 4.17357e-06 8.2849e-07 -1.33416e-20 -0.432463 1.11454
0.78336 4.13181e-06 8.05418e-07 -1.34615e-20 -0.436145 1.09472
0.777355 4.11874e-06 7.93503e-07 -1.36012e-20 -0.439874 1.07744
0.771393 4.09331e-06 7.66405e-07 -1.37041e-20 -0.443825 1.0615
0.765465 4.05272e-06 7.45154e-07 -1.38063e-20 -0.447733 1.04253
0.759579 4.04406e-06 7.32614e-07 5.44547e-23 -0.451795 1.02679
0.753736 4.00104e-06 6.9526e-07 -1.23964e-27 -0.456048 1.01112
0.747928 3.95747e-06 6.7359e-07 1.41021e-20 -0.46023 0.99255
0.742155 3.94702e-06 6.5885e-07 -5.87747e-39 -0.464663 0.977598
0.736423 3.90081e-06 6.20015e-07 -7.14763e-21 -0.469253 0.962781
0.73073 3.85381e-06 5.97253e-07 -5.6651e-23 -0.473843 0.944839
0.725066 3.82662e-06 5.79178e-07 7.29849e-21 -0.478663 0.928853
0.719444 3.78095e-06 5.4348e-07 7.31787e-21 -0.48364 0.914059
0.71386 3.73897e-06 5.18106e-07 1.15966e-22 -0.488714 0.898084
0.708306 3.69877e-06 4.969e-07 7.40912e-21 -0.494025 0.881471
0.70279 3.64875e-06 4.65014e-07 7.58194e-37 -0.49949 0.865765
0.697313 3.58485e-06 4.31064e-07 5.93068e-23 -0.505143 0.848791
0.691864 3.5398e-06 4.03051e-07 -7.63588e-21 -0.510952 0.832414
0.686452 3.49304e-06 3.71861e-07 -7.83175e-21 -0.517112 0.816596
0.681078 3.41174e-06 3.22613e-07 -7.69886e-21 -0.523436 0.800154
0.675729 3.37073e-06 2.92576e-07 -2.20405e-38 -0.529997 0.785133
0.670419 3.28592e-06 2.57643e-07 1.5221e-39 -0.536978 0.76524
0.665144 3.21679e-06 2.10722e-07 1.07907e-39 -0.544062 0.750664
0.659893 3.10915e-06 1.62387e-07 -6.22535e-23 -0.551713 0.730573
0.654679 3.07788e-06 1.22046e-07 8.17736e-21 -0.559342 0.717757
0.649501 2.95883e-06 8.06803e-08 -8.09195e-21 -0.567935 0.694933
0.644346 2.79895e-06 1.22811e-08 -6.36231e-23 -0.576188 0.672853
0.639225 2.72846e-06 -3.51309e-08 -1.25556e-42 -0.585396 0.656312
0.634137 2.62598e-06 -8.63701e-08 -6.45231e-23 -0.594634 0.636088
0.629077 2.45834e-06 -1.37429e-07 8.38443e-21 -0.604798 0.609199
0.62405 2.26047e-06 -2.04364e-07 -6.55272e-23 -0.614846 0.580519
0.619051 2.16194e-06 -2.54741e-07 6.58401e-23 -0.62578 0.561399
0.614082 2.00177e-06 -3.18099e-07 -9.81836e-38 -0.637065 0.534388
0.609148 1.75965e-06 -3.96575e-07 1.06759e-39 -0.649103 0.49727
0.604237 1.51511e-06 -4.78412e-07 6.71759e-23 -0.66129 0.459916
0.599358 1.35172e-06 -5.46223e-07 -6.78728e-23 -0.674316 0.4323
0.594514 1.13133e-06 -6.25207e-07 -6.8196e-23 -0.687916 0.396976
0.589693 7.46527e-07 -7.13247e-07 8.85383e-21 -0.702404 0.339503
0.584904 3.86712e-07 -8.08878e-07 1.66039e-37 -0.716836 0.299894
0.580143 1.31626e-07 -9.07155e-07 -1.76324e-38 -0.732349 0.29562
0.575409 -1.40511e-07 -1.03339e-06 -4.42008e-21 -0.748369 0.317075
0.570708 -7.55546e-07 -1.1552e-06 -6.42081e-27 -0.765971 0.383864
0.566029 -1.36398e-06 -1.28313e-06 -6.56993e-27 -0.782361 0.459372
0.561379 -1.71512e-06 -1.39524e-06 -9.21923e-21 -0.800442 0.498163
0.556761 -1.98605e-06 -1.5554e-06 -7.17112e-23 -0.818426 0.527959
0.552166 -2.85156e-06 -1.67396e-06 1.43746e-22 -0.839774 0.605966
0.547601 -3.86515e-06 -1.78046e-06 -4.77454e-21 -0.857547 0.691936
0.54306 -4.21116e-06 -1.90304e-06 -4.49685e-21 -0.877612 0.714972
0.538546 -4.68399e-06 -2.05572e-06 -8.30669e-27 -0.89768 0.745738
0.534063 -5.40691e-06 -2.19679e-06 -1.46541e-22 -0.920021 0.790426
0.5296 -6.54882e-06 -2.28904e-06 7.3358e-23 -0.941379 0.860278
0.525167 -7.29167e-06 -2.39929e-06 7.39547e-23 -0.962039 0.901366
0.520762 -7.81345e-06 -2.53357e-06 4.67216e-21 -0.98392 0.92436
0.51638 -8.25354e-06 -2.73428e-06 9.53977e-21 -1.00635 0.942557
0.512028 -9.44242e-06 -2.82515e-06 -4.78826e-21 -1.03226 0.996065
0.507699 -1.07038e-05 -2.88648e-06 8.2282e-27 -1.05303 1.05658
0.503394 -1.11443e-05 -3.03672e-06 3.7738e-23 -1.07653 1.06943
0.499119 -1.17774e-05 -3.20337e-06 -3.79106e-23 -1.10012 1.09027
0.494866 -1.2547e-05 -3.37563e-06 4.86315e-21 -1.12586 1.1158
0.490641 -1.39355e-05 -3.4335e-06 -4.89173e-21 -1.15173 1.1672
0.486443 -1.50313e-05 -3.50304e-06 -3.82916e-23 -1.17457 1.20726
0.482265 -1.55866e-05 -3.65747e-06 -4.88992e-21 -1.19929 1.21991
0.478116 -1.61538e-05 -3.87034e-06 4.95913e-21 -1.22459 1.23284
