# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	3.17840630e+01	5.92983328e-19	-7.57711054e+01	3.78855527e+01	4.97588338e+01	1.58920315e+01	5.37775842e+01	-2.19935212e+01	1.58920315e+01	-1.58920315e+01	1.18732811e+01	-8.76443865e+01
2               	4.52993616e+00	5.43700204e-19	-4.03079389e+00	2.01539694e+00	5.07029378e+00	2.26496808e+00	4.28036502e+00	2.49571136e-01	2.26496808e+00	-2.26496808e+00	3.05489684e+00	-7.08569072e+00
3               	-4.28386068e+00	5.40959612e-19	7.07833072e+00	-3.53916536e+00	-2.24383077e+00	-2.14193034e+00	-5.68109570e+00	1.39723502e+00	-2.14193034e+00	2.14193034e+00	1.29533459e+00	5.78299613e+00
4               	-1.30751158e+00	5.28370919e-19	9.33479653e+00	-4.66739826e+00	-3.19519839e+00	-6.53755792e-01	-5.32115406e+00	4.01364247e+00	-6.53755792e-01	6.53755792e-01	1.47219987e+00	7.86259666e+00
5               	2.42061785e-01	5.35348163e-19	1.69543045e+00	-8.47715227e-01	-8.28374094e-01	1.21030893e-01	-7.26684335e-01	9.68746120e-01	1.21030893e-01	-1.21030893e-01	1.93411330e-02	1.67608932e+00
6               	3.42782462e-01	5.35840551e-19	-2.18443275e+00	1.09221637e+00	4.80343722e-01	1.71391231e-01	1.26360760e+00	-9.20825142e-01	1.71391231e-01	-1.71391231e-01	-6.11872651e-01	-1.57256009e+00
7               	-1.91931518e-01	5.34968699e-19	-3.31001646e+00	1.65500823e+00	5.73728858e-01	-9.59657590e-02	1.55904247e+00	-1.75097399e+00	-9.59657590e-02	9.59657590e-02	-1.08127937e+00	-2.22873709e+00
8               	-4.30942874e-01	5.35129342e-19	-3.08094063e+00	1.54047032e+00	3.73919691e-01	-2.15471437e-01	1.32499888e+00	-1.75594175e+00	-2.15471437e-01	2.15471437e-01	-1.16655063e+00	-1.91439001e+00
9               	-3.66359467e-01	5.31321754e-19	-1.38729699e+00	6.93648495e-01	-7.98864905e-02	-1.83179733e-01	5.10468762e-01	-8.76828229e-01	-1.83179733e-01	1.83179733e-01	-7.73534986e-01	-6.13762005e-01
10              	-1.06205415e-01	5.29324813e-19	-5.97113272e-01	2.98556636e-01	-4.54840982e-02	-5.31027076e-02	2.45453929e-01	-3.51659344e-01	-5.31027076e-02	5.31027076e-02	-3.44040734e-01	-2.53072538e-01
11              	8.17453915e-02	5.28632521e-19	3.19221476e-01	-1.59610738e-01	-1.08072609e-01	4.08726957e-02	-1.18738042e-01	2.00483434e-01	4.08726957e-02	-4.08726957e-02	5.15381284e-02	2.67683347e-01
12              	2.23116344e-01	5.28910350e-19	4.21646060e-01	-2.10823030e-01	3.57080116e-02	1.11558172e-01	-9.92648582e-02	3.22381202e-01	1.11558172e-01	-1.11558172e-01	2.46531042e-01	1.75115019e-01
13              	2.40071326e-01	5.28416816e-19	4.99562695e-01	-2.49781347e-01	5.57888372e-02	1.20035663e-01	-1.29745684e-01	3.69817010e-01	1.20035663e-01	-1.20035663e-01	3.05570185e-01	1.93992510e-01
14              	2.30206171e-01	5.27860072e-19	8.29685493e-02	-4.14842746e-02	1.86642932e-01	1.15103085e-01	7.36188108e-02	1.56587360e-01	1.15103085e-01	-1.15103085e-01	2.28127206e-01	-1.45158657e-01
15              	1.64308422e-01	5.26724674e-19	-2.06298138e-01	1.03149069e-01	2.07945612e-01	8.21542109e-02	1.85303280e-01	-2.09948584e-02	8.21542109e-02	-8.21542109e-02	1.04796543e-01	-3.11094681e-01
16              	1.12502258e-01	5.25822176e-19	-5.98719499e-01	2.99359750e-01	2.65228391e-01	5.62511292e-02	3.55610879e-01	-2.43108621e-01	5.62511292e-02	-5.62511292e-02	-3.41313584e-02	-5.64588141e-01
17              	5.04264536e-02	5.24685660e-19	-7.10706287e-01	3.55353143e-01	2.21257816e-01	2.52132268e-02	3.80566370e-01	-3.30139917e-01	2.52132268e-02	-2.52132268e-02	-1.34095328e-01	-5.76610959e-01
18              	2.83581067e-02	5.23849780e-19	-8.59527587e-01	4.29763793e-01	2.34538467e-01	1.41790534e-02	4.43942847e-01	-4.15584740e-01	1.41790534e-02	-1.41790534e-02	-1.95225327e-01	-6.64302260e-01
19              	9.74930889e-03	5.22922313e-19	-7.44706300e-01	3.72353150e-01	1.76615769e-01	4.87465444e-03	3.77227804e-01	-3.67478495e-01	4.87465444e-03	-4.87465444e-03	-1.95737381e-01	-5.48968919e-01
20              	2.60441993e-02	5.22308882e-19	-7.48568003e-01	3.74284002e-01	1.95922833e-01	1.30220997e-02	3.87306101e-01	-3.61261902e-01	1.30220997e-02	-1.30220997e-02	-1.78361169e-01	-5.70206834e-01
21              	3.56206090e-02	5.21539040e-19	-5.43558120e-01	2.71779060e-01	1.50140776e-01	1.78103045e-02	2.89589364e-01	-2.53968755e-01	1.78103045e-02	-1.78103045e-02	-1.21638284e-01	-4.21919836e-01
22              	5.91572171e-02	5.21080613e-19	-5.42235326e-01	2.71117663e-01	1.82440766e-01	2.95786086e-02	3.00696272e-01	-2.41539055e-01	2.95786086e-02	-2.95786086e-02	-8.86768971e-02	-4.53558429e-01
23              	6.98987692e-02	5.20384284e-19	-4.28696923e-01	2.14348461e-01	1.69275874e-01	3.49493846e-02	2.49297846e-01	-1.79399077e-01	3.49493846e-02	-3.49493846e-02	-4.50725870e-02	-3.83624336e-01
24              	8.92517218e-02	5.19472691e-19	-4.58998183e-01	2.29499091e-01	2.07858733e-01	4.46258609e-02	2.74124952e-01	-1.84873230e-01	4.46258609e-02	-4.46258609e-02	-2.16403583e-02	-4.37357824e-01
25              	8.80677732e-02	5.18454217e-19	-4.40317083e-01	2.20158541e-01	2.04981839e-01	4.40338866e-02	2.64192428e-01	-1.76124655e-01	4.40338866e-02	-4.40338866e-02	-1.51767019e-02	-4.25140381e-01
