# Wall shear stress
# Time          	patch           	min             	max             
100             	Airfoil	(-1.46690928e-04 -1.43128241e-04 -2.96525971e-20)	(-1.03195242e-08 1.05375788e-04 2.65953322e-20)
200             	Airfoil	(-1.54221587e-04 -1.86315618e-04 -3.39565703e-20)	(1.28392889e-06 7.92266599e-05 3.36194502e-20)
300             	Airfoil	(-1.79188787e-04 -1.99107283e-04 -3.34124478e-20)	(2.22861447e-06 9.51137122e-05 3.78864460e-20)
400             	Airfoil	(-1.88159439e-04 -2.01811859e-04 -3.04500021e-20)	(1.46982470e-06 1.02370602e-04 3.89644745e-20)
500             	Airfoil	(-1.87938941e-04 -1.99844494e-04 -2.95108702e-20)	(1.76242087e-06 1.05986457e-04 3.92930774e-20)
600             	Airfoil	(-1.84509230e-04 -1.96422973e-04 -2.87191038e-20)	(2.50580866e-06 1.07104034e-04 3.92352467e-20)
700             	Airfoil	(-1.79295214e-04 -1.91779528e-04 -2.77808688e-20)	(2.82973559e-06 1.04657807e-04 3.88863315e-20)
800             	Airfoil	(-1.70895411e-04 -1.85925270e-04 -2.70838407e-20)	(3.01974269e-06 9.59620277e-05 3.82676557e-20)
900             	Airfoil	(-1.62570510e-04 -1.82276646e-04 -2.68137516e-20)	(3.26905381e-06 8.43474351e-05 3.76790155e-20)
1000            	Airfoil	(-1.68738814e-04 -1.84473611e-04 -2.69114337e-20)	(3.51280725e-06 9.62226085e-05 3.72477912e-20)
1100            	Airfoil	(-1.70815020e-04 -1.83730279e-04 -2.65940830e-20)	(3.69167929e-06 1.03076342e-04 3.69880771e-20)
1200            	Airfoil	(-1.71076709e-04 -1.82678575e-04 -2.63164560e-20)	(3.80477701e-06 1.06657370e-04 3.68076788e-20)
1300            	Airfoil	(-1.71056309e-04 -1.81671959e-04 -2.64383578e-20)	(3.75934396e-06 1.09420330e-04 3.69918675e-20)
1400            	Airfoil	(-1.70881865e-04 -1.80713455e-04 -2.60871009e-20)	(3.93578232e-06 1.11528020e-04 3.66107613e-20)
1500            	Airfoil	(-1.70622860e-04 -1.79880577e-04 -2.57251664e-20)	(4.17511351e-06 1.13286581e-04 3.61542459e-20)
1600            	Airfoil	(-1.70392500e-04 -1.79139913e-04 -2.55455671e-20)	(4.37647702e-06 1.14828308e-04 3.58716133e-20)
1700            	Airfoil	(-1.70174962e-04 -1.78424481e-04 -2.53738575e-20)	(4.47745478e-06 1.16226981e-04 3.56851971e-20)
1800            	Airfoil	(-1.69947446e-04 -1.77735596e-04 -2.53373386e-20)	(4.53654544e-06 1.17527875e-04 3.55842976e-20)
1900            	Airfoil	(-1.69722868e-04 -1.77066930e-04 -2.53170865e-20)	(4.54100163e-06 1.18773009e-04 3.55710350e-20)
2000            	Airfoil	(-1.69502624e-04 -1.76406539e-04 -2.53195909e-20)	(4.54684394e-06 1.19991448e-04 3.55571148e-20)
2100            	Airfoil	(-1.69283751e-04 -1.75745974e-04 -2.53290323e-20)	(4.56083167e-06 1.21200178e-04 3.55506888e-20)
2200            	Airfoil	(-1.69062625e-04 -1.75083587e-04 -2.53033293e-20)	(4.57793960e-06 1.22405036e-04 3.55294330e-20)
2300            	Airfoil	(-1.68838901e-04 -1.74422262e-04 -2.52899551e-20)	(4.59954843e-06 1.23602354e-04 3.55022121e-20)
2400            	Airfoil	(-1.68611757e-04 -1.73767079e-04 -2.52719091e-20)	(4.61269034e-06 1.24786577e-04 3.54827652e-20)
2500            	Airfoil	(-1.68386441e-04 -1.73122444e-04 -2.52554224e-20)	(4.62359650e-06 1.25953233e-04 3.54650089e-20)
2600            	Airfoil	(-1.68164468e-04 -1.72489778e-04 -2.52472879e-20)	(4.63438201e-06 1.27098894e-04 3.54519100e-20)
2700            	Airfoil	(-1.67946707e-04 -1.71869641e-04 -2.52323226e-20)	(4.64614019e-06 1.28222145e-04 3.54359891e-20)
2800            	Airfoil	(-1.67732083e-04 -1.71262342e-04 -2.52153651e-20)	(4.66333867e-06 1.29321493e-04 3.54143261e-20)
2900            	Airfoil	(-1.67521569e-04 -1.70670051e-04 -2.51926570e-20)	(4.68643939e-06 1.30394256e-04 3.53844913e-20)
3000            	Airfoil	(-1.67315429e-04 -1.70094096e-04 -2.51637031e-20)	(4.71476924e-06 1.31438561e-04 3.53470764e-20)
3100            	Airfoil	(-1.67113777e-04 -1.69535699e-04 -2.51322962e-20)	(4.74633871e-06 1.32449818e-04 3.53053839e-20)
3200            	Airfoil	(-1.66919869e-04 -1.68998636e-04 -2.50999126e-20)	(4.77958968e-06 1.33426362e-04 3.52621043e-20)
3300            	Airfoil	(-1.67635451e-04 -1.68482061e-04 -2.50658791e-20)	(4.81352571e-06 1.34367097e-04 3.52169594e-20)
3400            	Airfoil	(-1.68613053e-04 -1.67987335e-04 -2.50326749e-20)	(4.84628547e-06 1.35270159e-04 3.51730988e-20)
