# y+ ()         
# Time          	patch           	min             	max             	average         
100             	Ground	9.51775373e-02	3.32661419e+00	1.21949268e+00
100             	Airfoil	5.65345364e-01	4.39671552e+00	2.36259460e+00
200             	Ground	1.16726978e-01	3.40560955e+00	1.42556028e+00
200             	Airfoil	4.22844291e-01	4.79505221e+00	2.31406145e+00
300             	Ground	2.07037834e-01	3.22754792e+00	1.50150656e+00
300             	Airfoil	2.49686509e-01	4.95624649e+00	2.31216826e+00
400             	Ground	1.70011985e-01	3.00435978e+00	1.54747087e+00
400             	Airfoil	2.66371251e-01	4.99061464e+00	2.31727571e+00
500             	Ground	2.80396155e-01	3.17872652e+00	1.59211116e+00
500             	Airfoil	2.83263573e-01	5.01939083e+00	2.33436437e+00
600             	Ground	5.84695124e-02	3.23148694e+00	1.61871654e+00
600             	Airfoil	2.96833915e-01	5.03511363e+00	2.34710182e+00
700             	Ground	1.39784450e-01	3.00919785e+00	1.62754125e+00
700             	Airfoil	2.47828809e-01	4.96691404e+00	2.34870156e+00
800             	Ground	1.68622918e-01	2.81336800e+00	1.61569441e+00
800             	Airfoil	3.03020159e-01	4.79272968e+00	2.33701461e+00
900             	Ground	3.01519941e-01	2.59268013e+00	1.58949145e+00
900             	Airfoil	2.99837218e-01	4.74292559e+00	2.31073717e+00
1000            	Ground	2.83602929e-01	2.35100354e+00	1.55424808e+00
1000            	Airfoil	2.98729855e-01	4.79218972e+00	2.29176906e+00
1100            	Ground	1.95718695e-01	2.10203955e+00	1.51679987e+00
1100            	Airfoil	2.94517657e-01	4.95163831e+00	2.26563406e+00
1200            	Ground	1.67975269e-01	2.03976068e+00	1.49108424e+00
1200            	Airfoil	2.91057364e-01	5.03539095e+00	2.25864257e+00
1300            	Ground	3.11241189e-01	2.02022679e+00	1.47495947e+00
1300            	Airfoil	2.98601771e-01	5.09982491e+00	2.26853766e+00
1400            	Ground	2.99751237e-01	2.01043545e+00	1.46926113e+00
1400            	Airfoil	2.91433068e-01	5.14863706e+00	2.28491479e+00
1500            	Ground	1.82933879e-01	2.00127172e+00	1.47756317e+00
1500            	Airfoil	2.20119891e-01	5.18901810e+00	2.30080022e+00
1600            	Ground	1.43114918e-01	1.99310944e+00	1.48685129e+00
1600            	Airfoil	2.95080887e-01	5.22419595e+00	2.31577787e+00
1700            	Ground	2.68340852e-01	1.98562990e+00	1.49484975e+00
1700            	Airfoil	2.99570886e-01	5.25591116e+00	2.32852942e+00
1800            	Ground	3.43921676e-01	1.97860535e+00	1.50257731e+00
1800            	Airfoil	2.91169570e-01	5.28524246e+00	2.33983578e+00
1900            	Ground	2.95306581e-01	1.97177367e+00	1.51106731e+00
1900            	Airfoil	2.97492855e-01	5.31316707e+00	2.35012710e+00
2000            	Ground	1.90092447e-01	1.96500456e+00	1.52008697e+00
2000            	Airfoil	2.95376048e-01	5.34035544e+00	2.35999083e+00
2100            	Ground	1.25960831e-01	1.97495163e+00	1.52931758e+00
2100            	Airfoil	2.98657559e-01	5.36719904e+00	2.36955255e+00
2200            	Ground	2.59062072e-01	1.98709442e+00	1.53836607e+00
2200            	Airfoil	3.11190887e-01	5.39383110e+00	2.37853370e+00
2300            	Ground	3.43297998e-01	1.99890273e+00	1.54659239e+00
2300            	Airfoil	1.13411602e-01	5.42017311e+00	2.38674836e+00
