# ccx tau_xx tau_yy tau_zz cp yplus
0.996464 3.36286e-06 1.41814e-06 -2.44411e-20 -0.291262 1.33462
0.988953 4.67228e-06 1.62497e-06 3.44157e-20 -0.290211 1.75408
0.980947 5.40381e-06 1.322e-06 1.81504e-20 -0.308547 1.90182
0.972985 4.42987e-06 1.19934e-06 -1.90321e-20 -0.308526 1.69091
0.965205 4.66802e-06 1.30348e-06 -1.95279e-20 -0.315551 1.70257
0.957562 4.39905e-06 1.20371e-06 2.00352e-20 -0.319111 1.62953
0.950013 4.23229e-06 1.12341e-06 9.97307e-24 -0.323567 1.57658
0.942557 4.07555e-06 1.06859e-06 -1.01892e-23 -0.326576 1.52386
0.935198 4.0619e-06 1.0551e-06 -1.08837e-27 -0.330367 1.49768
0.927925 4.07208e-06 1.04899e-06 -7.80602e-39 -0.333803 1.47608
0.920729 4.09806e-06 1.03025e-06 1.17549e-38 -0.337855 1.45982
0.913605 4.09997e-06 1.01281e-06 1.10376e-20 -0.34162 1.439
0.906551 4.12118e-06 9.9978e-07 -1.11728e-20 -0.345754 1.42197
0.899565 4.12962e-06 9.84465e-07 -1.1332e-20 -0.349814 1.40303
0.892647 4.14501e-06 9.78617e-07 1.14639e-20 -0.354117 1.38464
0.885793 4.16122e-06 9.64988e-07 0 -0.358448 1.36748
0.879002 4.16905e-06 9.56546e-07 5.87747e-39 -0.363017 1.3485
0.87227 4.18125e-06 9.39814e-07 -1.18055e-20 -0.367593 1.33146
0.865595 4.18522e-06 9.28635e-07 -2.33432e-23 -0.372445 1.31266
0.858974 4.19371e-06 9.06483e-07 1.20747e-20 -0.377289 1.29612
0.852405 4.19926e-06 8.96927e-07 1.21708e-20 -0.382442 1.27805
0.845887 4.20107e-06 8.67039e-07 -1.22869e-20 -0.38762 1.26199
0.839418 4.20721e-06 8.59638e-07 -1.24099e-20 -0.39307 1.24429
0.833004 4.2024e-06 8.28343e-07 -2.4548e-23 -0.398631 1.22798
0.826639 4.20618e-06 8.16598e-07 2.95905e-27 -0.404386 1.2109
0.820321 4.19627e-06 7.93245e-07 -2.49854e-23 -0.410362 1.19326
0.814046 4.19235e-06 7.71517e-07 2.51995e-23 -0.416477 1.17663
0.807817 4.18171e-06 7.55599e-07 1.29989e-20 -0.422878 1.15819
0.801638 4.16334e-06 7.22591e-07 5.13964e-23 -0.429419 1.14104
0.795505 4.15245e-06 7.03357e-07 1.32369e-20 -0.43622 1.12303
0.789412 4.12033e-06 6.74223e-07 -1.33693e-20 -0.443282 1.10366
0.78336 4.09359e-06 6.42308e-07 -1.34856e-20 -0.450533 1.0857
0.777355 4.06562e-06 6.18171e-07 -1.36218e-20 -0.458127 1.06638
0.771393 4.00533e-06 5.73565e-07 -1.37248e-20 -0.465965 1.04581
0.765465 3.9768e-06 5.37867e-07 -1.38244e-20 -0.474044 1.02823
0.759579 3.91815e-06 5.06477e-07 5.45189e-23 -0.482629 1.00604
0.753736 3.82072e-06 4.47986e-07 -2.62381e-27 -0.491328 0.98335
0.747928 3.79932e-06 4.07359e-07 1.4118e-20 -0.500442 0.967453
0.742155 3.70199e-06 3.65759e-07 -1.17549e-38 -0.51014 0.941523
0.736423 3.56905e-06 3.00254e-07 -7.15811e-21 -0.519866 0.915624
0.73073 3.5384e-06 2.53178e-07 -5.67251e-23 -0.530164 0.899705
0.725066 3.41125e-06 2.07882e-07 7.30795e-21 -0.541053 0.871203
0.719444 3.24534e-06 1.33726e-07 7.33035e-21 -0.552042 0.840902
0.71386 3.17427e-06 8.01087e-08 1.16165e-22 -0.563621 0.821364
0.708306 3.043e-06 2.5993e-08 7.42227e-21 -0.575835 0.793233
0.70279 2.84689e-06 -4.45029e-08 4.08484e-37 -0.588368 0.758416
0.697313 2.67809e-06 -1.19192e-07 5.94448e-23 -0.601368 0.72729
0.691864 2.58847e-06 -1.74935e-07 -7.65465e-21 -0.614936 0.705628
0.686452 2.29072e-06 -2.5422e-07 -7.85353e-21 -0.629461 0.655535
0.681078 1.97916e-06 -3.62063e-07 -7.72751e-21 -0.643554 0.604828
0.675729 1.91896e-06 -4.23313e-07 -2.93874e-39 -0.658852 0.588629
0.670419 1.56301e-06 -5.11075e-07 -1.72156e-39 -0.675038 0.526905
0.665144 1.12924e-06 -6.12629e-07 3.46679e-39 -0.690929 0.452606
0.659893 8.4327e-07 -7.14877e-07 -6.26081e-23 -0.707639 0.404317
0.654679 7.46797e-07 -8.25338e-07 8.22561e-21 -0.724763 0.393258
0.649501 1.01503e-07 -9.38711e-07 -8.14286e-21 -0.744063 0.341794
0.644346 -5.0854e-07 -1.08345e-06 -6.41538e-23 -0.760626 0.405021
0.639225 -5.76564e-07 -1.18602e-06 -5.38099e-43 -0.779897 0.421106
0.634137 -9.48197e-07 -1.30452e-06 -6.49231e-23 -0.799368 0.472233
0.629077 -1.63816e-06 -1.41574e-06 8.40886e-21 -0.820016 0.557538
0.62405 -2.18083e-06 -1.53107e-06 -6.55982e-23 -0.838971 0.620685
0.619051 -2.34586e-06 -1.64617e-06 6.5814e-23 -0.860102 0.636604
0.614082 -2.81717e-06 -1.76741e-06 -1.90157e-37 -0.881888 0.681338
0.609148 -3.53233e-06 -1.87657e-06 2.77802e-39 -0.904139 0.744427
0.604237 -4.05749e-06 -1.99463e-06 6.6668e-23 -0.925517 0.787087
0.599358 -4.3194e-06 -2.12883e-06 -6.72591e-23 -0.948677 0.803545
0.594514 -4.86591e-06 -2.26433e-06 -6.74061e-23 -0.972843 0.840418
0.589693 -5.75244e-06 -2.37387e-06 8.72257e-21 -0.997317 0.899283
0.584904 -6.36421e-06 -2.49834e-06 1.26366e-37 -1.02041 0.936965
0.580143 -6.66157e-06 -2.6506e-06 -1.68977e-38 -1.04576 0.949307
0.575409 -7.23578e-06 -2.8167e-06 -4.32809e-21 -1.07212 0.978109
0.570708 -8.48119e-06 -2.90756e-06 -9.4143e-27 -1.09969 1.0438
0.566029 -9.37094e-06 -3.01221e-06 -9.38271e-27 -1.12302 1.09037
0.561379 -9.57682e-06 -3.17913e-06 -8.98917e-21 -1.15006 1.09265
0.556761 -9.99095e-06 -3.38941e-06 -6.98958e-23 -1.1777 1.10606
0.552166 -1.15838e-05 -3.44963e-06 1.39824e-22 -1.2092 1.17371
0.547601 -1.29373e-05 -3.48833e-06 -4.64554e-21 -1.23162 1.23657
0.54306 -1.2989e-05 -3.67136e-06 -4.3793e-21 -1.25929 1.22975
0.538546 -1.34356e-05 -3.85663e-06 -1.14038e-26 -1.28766 1.23974
0.534063 -1.45442e-05 -3.97192e-06 -1.42614e-22 -1.31889 1.27613
0.5296 -1.60874e-05 -3.98301e-06 7.13689e-23 -1.34618 1.33339
0.525167 -1.67049e-05 -4.09208e-06 7.20028e-23 -1.37205 1.35212
0.520762 -1.69567e-05 -4.27047e-06 4.55353e-21 -1.40108 1.35122
0.51638 -1.74396e-05 -4.48556e-06 9.2978e-21 -1.43142 1.35917
0.512028 -1.91254e-05 -4.49198e-06 -4.66193e-21 -1.46505 1.40823
0.507699 -2.04424e-05 -4.48886e-06 9.88742e-27 -1.48898 1.45302
0.503394 -2.04697e-05 -4.70249e-06 3.68123e-23 -1.51891 1.4432
0.499119 -2.09718e-05 -4.88495e-06 -3.70073e-23 -1.54964 1.4492
0.494866 -2.19422e-05 -5.02999e-06 4.7459e-21 -1.58297 1.46972
0.490641 -2.3648e-05 -5.0024e-06 -4.77228e-21 -1.61455 1.51541
0.486443 -2.45797e-05 -5.06059e-06 -3.73901e-23 -1.64133 1.53982
0.482265 -2.47576e-05 -5.27734e-06 -4.78024e-21 -1.67272 1.53424
0.478116 -2.52682e-05 -5.50584e-06 4.84973e-21 -1.70561 1.53861
0.473991 -2.67928e-05 -5.56801e-06 -2.20405e-38 -1.74202 1.5708
0.46989 -2.87387e-05 -5.46167e-06 -4.83667e-21 -1.77165 1.62094
0.465816 -2.9399e-05 -5.56436e-06 9.71361e-21 -1.79965 1.63379
0.461762 -2.95947e-05 -5.79194e-06 -4.88169e-21 -1.83185 1.62813
0.457735 -3.0094e-05 -6.05357e-06 3.87574e-23 -1.86618 1.63073
0.453735 -3.20511e-05 -6.03408e-06 -4.99451e-21 -1.90475 1.6692
0.449755 -3.42568e-05 -5.82941e-06 -2.01303e-37 -1.93243 1.72326
0.445801 -3.47401e-05 -5.95482e-06 2.50089e-21 -1.96022 1.73005
0.441868 -3.48886e-05 -6.18726e-06 2.5515e-21 -1.99229 1.72293
0.437961 -3.53542e-05 -6.44963e-06 2.53354e-21 -2.02678 1.72362
0.434081 -3.731e-05 -6.41781e-06 2.49428e-21 -2.06559 1.75772
0.430219 -3.96644e-05 -6.15309e-06 -2.4966e-21 -2.09363 1.80996
0.426382 -4.02528e-05 -6.24184e-06 -1.25747e-26 -2.12008 1.81937
0.42257 -4.03151e-05 -6.48241e-06 2.52785e-21 -2.15165 1.81039
0.418779 -4.07407e-05 -6.72525e-06 -1.83671e-39 -2.18551 1.80949
0.415014 -4.23302e-05 -6.77025e-06 -7.06775e-38 -2.22342 1.8328
0.411271 -4.48946e-05 -6.46544e-06 -1.86977e-37 -2.25478 1.88225
0.407549 -4.59349e-05 -6.42772e-06 -2.60885e-21 -2.27837 1.9031
0.403853 -4.58339e-05 -6.68889e-06 2.62534e-21 -2.30913 1.89113
0.400175 -4.6212e-05 -6.89748e-06 -2.63791e-21 -2.34158 1.88887
0.396524 -4.70762e-05 -7.11067e-06 4.15311e-23 -2.37761 1.89631
0.392898 -4.98889e-05 -6.791e-06 -6.45389e-27 -2.41513 1.94176
0.389289 -5.16819e-05 -6.54542e-06 -2.70319e-21 -2.43476 1.97982
0.385704 -5.13541e-05 -6.85559e-06 5.37036e-21 -2.4647 1.96425
0.382144 -5.17392e-05 -7.02365e-06 2.65622e-21 -2.49576 1.96197
0.378603 -5.22761e-05 -7.26009e-06 4.2424e-23 -2.52968 1.96267
0.375087 -5.43163e-05 -7.14862e-06 4.25372e-23 -2.56727 1.98988
0.371592 -5.64676e-05 -6.85963e-06 -8.51896e-23 -2.59316 2.0274
0.368117 -5.69399e-05 -6.97253e-06 -2.70106e-21 -2.61961 2.03097
0.364668 -5.71462e-05 -7.17059e-06 -1.23427e-37 -2.65015 2.02556
0.361237 -5.75986e-05 -7.36366e-06 -5.55103e-21 -2.68244 2.02449
0.35783 -5.84739e-05 -7.55731e-06 2.75052e-21 -2.71789 2.03071
0.354446 -6.1003e-05 -7.28699e-06 8.73546e-23 -2.75503 2.06484
0.35108 -6.26785e-05 -7.08592e-06 -4.37967e-23 -2.77669 2.09414
0.347737 -6.25147e-05 -7.38096e-06 2.8281e-21 -2.80759 2.08294
0.344419 -6.29622e-05 -7.55517e-06 -4.44287e-23 -2.8398 2.08173
0.341117 -6.3501e-05 -7.81096e-06 8.92488e-23 -2.87499 2.08215
0.337839 -6.53553e-05 -7.81454e-06 -2.91562e-21 -2.91465 2.10317
0.334585 -6.84695e-05 -7.35341e-06 1.43396e-21 -2.94712 2.14896
0.331346 -6.97561e-05 -7.23485e-06 1.39322e-21 -2.96787 2.17059
0.328131 -6.94337e-05 -7.55267e-06 1.49765e-21 -2.99843 2.15774
0.32494 -6.97028e-05 -7.77628e-06 1.50581e-21 -3.031 2.154
0.321764 -7.01991e-05 -8.10727e-06 1.42075e-21 -3.06823 2.15396
0.318612 -7.33247e-05 -7.84464e-06 1.46948e-21 -3.11217 2.19234
0.315483 -7.74071e-05 -7.05262e-06 -4.58163e-23 -3.13654 2.25568
0.312369 -7.82527e-05 -6.98963e-06 4.59465e-23 -3.15207 2.2715
0.309278 -7.75415e-05 -7.33665e-06 -4.6413e-23 -3.17922 2.25419
0.30621 -7.75407e-05 -7.57163e-06 1.4947e-21 -3.20882 2.24713
0.303158 -7.78785e-05 -7.90932e-06 9.38592e-23 -3.24389 2.24519
0.300128 -8.1453e-05 -7.52487e-06 1.5021e-21 -3.28677 2.28799
0.297121 -8.60377e-05 -6.53773e-06 -1.54529e-21 -3.30519 2.3572
0.29413 -8.67685e-05 -6.44077e-06 1.5024e-21 -3.31386 2.37246
0.291159 -8.57761e-05 -6.78625e-06 1.72192e-41 -3.3357 2.35278
0.288211 -8.56801e-05 -6.94236e-06 1.52802e-21 -3.3595 2.34529
0.285281 -8.58327e-05 -7.16578e-06 -3.52648e-38 -3.38715 2.34131
0.282371 -8.78529e-05 -7.03485e-06 -1.49195e-21 -3.42018 2.36217
0.279482 -9.12051e-05 -6.40399e-06 -4.81806e-23 -3.44252 2.40636
0.276613 -9.22726e-05 -6.23659e-06 4.83235e-23 -3.45206 2.42359
0.27376 -9.15968e-05 -6.51866e-06 -5.65922e-27 -3.47292 2.40921
0.27093 -9.17264e-05 -6.6089e-06 -4.90867e-23 -3.49489 2.40534
0.268121 -9.19571e-05 -6.7378e-06 2.66323e-39 -3.51895 2.40284
0.265328 -9.25943e-05 -6.83191e-06 2.47786e-23 -3.54557 2.40563
0.262556 -9.41355e-05 -6.69172e-06 -2.4911e-23 -3.57323 2.42047
0.259805 -9.50924e-05 -6.6355e-06 -7.75945e-22 -3.59311 2.43119
0.257072 -9.50034e-05 -6.84342e-06 -2.51695e-23 -3.61968 2.42485
0.254357 -9.52928e-05 -6.98027e-06 8.10454e-22 -3.64794 2.42333
0.251663 -9.54689e-05 -7.20739e-06 2.38772e-39 -3.67898 2.42046
0.24899 -9.59289e-05 -7.48098e-06 -8.46049e-22 -3.71537 2.42131
0.246333 -9.93818e-05 -7.0579e-06 8.44245e-22 -3.75934 2.45871
0.243695 -0.000102339 -6.45915e-06 -1.61746e-21 -3.77715 2.50023
0.241078 -0.000101791 -6.74179e-06 -5.16205e-23 -3.80201 2.49294
0.238479 -0.000100818 -7.09444e-06 -8.06168e-22 -3.83624 2.4766
0.235897 -0.000100111 -7.49984e-06 -8.12449e-22 -3.87673 2.46359
0.233335 -9.96826e-05 -8.08016e-06 8.46359e-22 -3.9275 2.45423
0.230794 -0.000104138 -8.15582e-06 8.14149e-22 -3.99555 2.50391
0.228269 -0.0001196 -5.40574e-06 -2.55923e-23 -4.05919 2.68531
0.22576 -0.000125494 -3.07058e-06 -3.81634e-22 -4.00186 2.79517
0.223271 -0.000117423 -4.71847e-06 2.58226e-23 -4.02487 2.70122
0.220803 -0.00011464 -5.02918e-06 -2.61905e-23 -4.05099 2.6666
0.218351 -0.000111915 -5.72011e-06 2.6503e-23 -4.09075 2.63231
0.215915 -0.000111521 -6.60668e-06 -2.66018e-23 -4.14946 2.62563
0.2135 -0.000125986 -5.00667e-06 4.13764e-22 -4.24572 2.78729
0.211104 -0.000147947 8.23236e-07 -9.52793e-40 -4.24862 3.06078
0.208725 -0.000150021 3.01401e-06 -2.22646e-22 -4.14259 3.13651
0.206362 -0.000138027 8.26113e-07 -7.55712e-23 -4.13984 3.00862
0.204018 -0.000132381 3.12797e-07 -4.97921e-40 -4.14432 2.94727
0.201694 -0.000127353 -5.68559e-07 0 -4.16531 2.89121
0.199388 -0.000125962 -1.66317e-06 1.61478e-46 -4.21134 2.87606
0.197098 -0.000147394 1.76633e-06 2.34372e-28 -4.32009 3.11257
0.194825 -0.000169513 9.42264e-06 5.13874e-40 -4.24526 3.40091
0.192573 -0.000166062 1.05408e-05 -1.65304e-39 -4.12374 3.41389
0.190342 -0.000153279 8.32059e-06 -7.89631e-22 -4.09626 3.28329
0.188127 -0.00014667 7.54266e-06 -8.63254e-39 -4.07294 3.21614
0.185929 -0.000140237 6.53284e-06 8.22931e-22 -4.07064 3.14868
0.183747 -0.000137519 5.77735e-06 -3.12241e-39 -4.08927 3.12205
0.181584 -0.000153332 8.7897e-06 2.50032e-23 -4.16126 3.30264
0.17944 -0.000171586 1.52462e-05 -2.42632e-23 -4.09807 3.54159
0.177317 -0.000168747 1.6532e-05 -7.97338e-22 -3.97336 3.55562
0.175211 -0.00015584 1.40646e-05 4.94641e-23 -3.94068 3.42277
0.173121 -0.000148903 1.31037e-05 -2.53238e-23 -3.91368 3.35277
0.171049 -0.000142589 1.19681e-05 8.53337e-22 -3.90479 3.28723
0.168995 -0.000140012 1.12665e-05 8.33575e-22 -3.9161 3.26367
0.166958 -0.000153583 1.29627e-05 -2.50342e-23 -3.97466 3.42638
0.164939 -0.000184 2.25096e-05 -7.28464e-22 -3.99726 3.78786
0.162941 -0.000188302 2.79063e-05 1.78522e-26 -3.75996 3.90838
