# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	3.17840630e+01	5.92983328e-19	-7.57711054e+01	3.78855527e+01	4.97588338e+01	1.58920315e+01	5.37775842e+01	-2.19935212e+01	1.58920315e+01	-1.58920315e+01	1.18732811e+01	-8.76443865e+01
2               	4.49864943e+00	5.43709519e-19	-3.98813498e+00	1.99406749e+00	5.03938986e+00	2.24932472e+00	4.24339220e+00	2.55257227e-01	2.24932472e+00	-2.24932472e+00	3.04532237e+00	-7.03345734e+00
3               	-4.49602336e+00	5.40041425e-19	6.97871707e+00	-3.48935854e+00	-2.22874702e+00	-2.24801168e+00	-5.73737022e+00	1.24134686e+00	-2.24801168e+00	2.24801168e+00	1.26061152e+00	5.71810556e+00
4               	-1.38768041e+00	5.27406058e-19	9.28341723e+00	-4.64170861e+00	-3.19235619e+00	-6.93840207e-01	-5.33554882e+00	3.94786841e+00	-6.93840207e-01	6.93840207e-01	1.44935243e+00	7.83406480e+00
5               	2.63084093e-01	5.34745983e-19	1.65414673e+00	-8.27073367e-01	-8.20624291e-01	1.31542046e-01	-6.95531321e-01	9.58615414e-01	1.31542046e-01	-1.31542046e-01	6.44907656e-03	1.64769766e+00
6               	3.80796191e-01	5.35212498e-19	-2.17186654e+00	1.08593327e+00	4.74575104e-01	1.90398096e-01	1.27633136e+00	-8.95535172e-01	1.90398096e-01	-1.90398096e-01	-6.11358165e-01	-1.56050837e+00
7               	-1.54456041e-01	5.34488283e-19	-3.31276948e+00	1.65638474e+00	5.79787152e-01	-7.72280203e-02	1.57915672e+00	-1.73361276e+00	-7.72280203e-02	7.72280203e-02	-1.07659759e+00	-2.23617189e+00
8               	-4.00918038e-01	5.34765457e-19	-3.07791969e+00	1.53895984e+00	3.80264997e-01	-2.00459019e-01	1.33850083e+00	-1.73941886e+00	-2.00459019e-01	2.00459019e-01	-1.15869485e+00	-1.91922484e+00
9               	-3.72815666e-01	5.31141278e-19	-1.38039623e+00	6.90198116e-01	-7.60555820e-02	-1.86407833e-01	5.03790283e-01	-8.76605949e-01	-1.86407833e-01	1.86407833e-01	-7.66253698e-01	-6.14142534e-01
10              	-1.11389869e-01	5.29222367e-19	-5.89609205e-01	2.94804602e-01	-4.53622548e-02	-5.56949347e-02	2.39109668e-01	-3.50499537e-01	-5.56949347e-02	5.56949347e-02	-3.40166857e-01	-2.49442348e-01
