# ccx tau_xx tau_yy tau_zz cp yplus
0.996464 1.21551e-06 -2.96752e-07 -2.20014e-20 -0.339872 0.73981
0.988953 6.1726e-06 2.09949e-06 3.02995e-20 -0.341532 2.01187
0.980947 7.3473e-06 1.82186e-06 1.6366e-20 -0.362684 2.21794
0.972985 6.59339e-06 1.80503e-06 -1.73573e-20 -0.364841 2.06333
0.965205 6.91533e-06 1.95922e-06 -1.80553e-20 -0.373036 2.07295
0.957562 6.60615e-06 1.84437e-06 1.87139e-20 -0.379011 1.99791
0.950013 6.08986e-06 1.66915e-06 9.43185e-24 -0.383601 1.89284
0.942557 5.62867e-06 1.53598e-06 -9.73725e-24 -0.386248 1.79286
0.935198 5.348e-06 1.45308e-06 -8.83401e-28 -0.388786 1.72072
0.927925 5.18985e-06 1.40143e-06 -8.07693e-38 -0.390972 1.66864
0.920729 5.07228e-06 1.3398e-06 0 -0.393582 1.6263
0.913605 4.97068e-06 1.2929e-06 1.07937e-20 -0.395851 1.58663
0.906551 4.94034e-06 1.26255e-06 -1.09529e-20 -0.398385 1.55898
0.899565 4.91672e-06 1.23766e-06 -1.11262e-20 -0.400991 1.533
0.892647 4.9372e-06 1.23171e-06 1.12692e-20 -0.403666 1.51322
0.885793 4.9615e-06 1.21999e-06 5.87747e-39 -0.406623 1.4953
0.879002 4.99084e-06 1.21702e-06 1.17549e-38 -0.409562 1.47756
0.87227 5.01654e-06 1.20478e-06 -1.16231e-20 -0.412746 1.46063
0.865595 5.04434e-06 1.20026e-06 -2.29964e-23 -0.415877 1.44339
0.858974 5.0529e-06 1.18125e-06 1.18986e-20 -0.41925 1.42517
0.852405 5.07758e-06 1.177e-06 1.20015e-20 -0.42246 1.40786
0.845887 5.07218e-06 1.14904e-06 -1.21195e-20 -0.426043 1.38935
0.839418 5.08406e-06 1.14515e-06 -1.22507e-20 -0.429293 1.37057
0.833004 5.08979e-06 1.11879e-06 -2.42376e-23 -0.43303 1.35431
0.826639 5.08237e-06 1.10944e-06 1.82492e-27 -0.436452 1.33409
0.820321 5.10007e-06 1.09454e-06 -2.46971e-23 -0.44023 1.31863
0.814046 5.07992e-06 1.07622e-06 2.49212e-23 -0.443955 1.29853
0.807817 5.0933e-06 1.06965e-06 1.28621e-20 -0.447733 1.28166
0.801638 5.07856e-06 1.04483e-06 5.08681e-23 -0.451747 1.2639
0.795505 5.07045e-06 1.03562e-06 1.31086e-20 -0.45562 1.24488
0.789412 5.07868e-06 1.02034e-06 -1.32428e-20 -0.459787 1.22938
0.78336 5.04634e-06 9.97634e-07 -1.33624e-20 -0.463979 1.20978
0.777355 5.0443e-06 9.8699e-07 -1.3503e-20 -0.468174 1.19236
0.771393 5.02193e-06 9.56936e-07 -1.3607e-20 -0.47266 1.17578
0.765465 4.98317e-06 9.34053e-07 -1.37112e-20 -0.47705 1.15608
0.759579 4.99537e-06 9.22975e-07 5.4085e-23 -0.481636 1.14124
0.753736 4.95803e-06 8.80871e-07 -1.40343e-27 -0.486507 1.12563
0.747928 4.913e-06 8.57458e-07 1.40097e-20 -0.49125 1.10601
0.742155 4.91067e-06 8.41921e-07 -5.87747e-39 -0.496288 1.09056
0.736423 4.86153e-06 7.95864e-07 -7.10263e-21 -0.501537 1.07497
0.73073 4.8202e-06 7.7053e-07 -5.6303e-23 -0.506767 1.05684
0.725066 4.802e-06 7.50936e-07 7.25443e-21 -0.512327 1.04068
0.719444 4.74573e-06 7.08499e-07 7.27464e-21 -0.518073 1.02426
0.71386 4.69374e-06 6.777e-07 1.15305e-22 -0.523908 1.00646
0.708306 4.65277e-06 6.52751e-07 7.36814e-21 -0.530039 0.988863
0.70279 4.6027e-06 6.14166e-07 6.25951e-37 -0.536393 0.972601
0.697313 4.53453e-06 5.7393e-07 5.89905e-23 -0.543008 0.954859
0.691864 4.48185e-06 5.42751e-07 -7.59658e-21 -0.549808 0.936949
0.686452 4.40983e-06 5.04933e-07 -7.79296e-21 -0.557041 0.917863
0.681078 4.30436e-06 4.41884e-07 -7.6623e-21 -0.564422 0.899072
0.675729 4.25627e-06 4.01141e-07 -5.87747e-39 -0.572146 0.882527
0.670419 4.1525e-06 3.58544e-07 1.13754e-39 -0.580424 0.860528
0.665144 4.04487e-06 2.94087e-07 2.0663e-39 -0.58881 0.841969
0.659893 3.90313e-06 2.35029e-07 -6.19983e-23 -0.597862 0.818781
0.654679 3.85217e-06 1.81911e-07 8.14529e-21 -0.606966 0.803162
0.649501 3.66904e-06 1.27351e-07 -8.06209e-21 -0.617205 0.774008
0.644346 3.4474e-06 3.99422e-08 -6.3406e-23 -0.626961 0.746841
0.639225 3.36465e-06 -2.18614e-08 -1.79366e-43 -0.637917 0.728875
0.634137 3.22571e-06 -8.52378e-08 -6.4317e-23 -0.64903 0.705015
0.629077 2.97663e-06 -1.5054e-07 8.35989e-21 -0.661099 0.670317
0.62405 2.71456e-06 -2.34112e-07 -6.53522e-23 -0.672963 0.636088
0.619051 2.59052e-06 -2.94612e-07 6.56735e-23 -0.685919 0.61444
0.614082 2.37313e-06 -3.69489e-07 5.2461e-39 -0.69931 0.581742
0.609148 2.0418e-06 -4.64097e-07 6.77287e-40 -0.713435 0.535607
0.604237 1.73289e-06 -5.62214e-07 6.70498e-23 -0.72763 0.492023
0.599358 1.53845e-06 -6.42782e-07 -6.7753e-23 -0.742843 0.461629
0.594514 1.24153e-06 -7.31914e-07 -6.80862e-23 -0.758734 0.417623
0.589693 7.39995e-07 -8.31231e-07 8.84241e-21 -0.775371 0.348372
0.584904 3.24991e-07 -9.43582e-07 1.05794e-37 -0.7918 0.313425
0.580143 3.84739e-08 -1.06044e-06 -1.54284e-38 -0.809574 0.318941
0.575409 -3.35211e-07 -1.20236e-06 -4.41628e-21 -0.827929 0.352428
0.570708 -1.11778e-06 -1.33215e-06 -7.1202e-27 -0.847633 0.437933
0.566029 -1.77924e-06 -1.46875e-06 -7.26866e-27 -0.865657 0.513526
0.561379 -2.12337e-06 -1.5994e-06 -9.20123e-21 -0.885827 0.548268
0.556761 -2.48962e-06 -1.76496e-06 -7.15379e-23 -0.906126 0.583391
0.552166 -3.57506e-06 -1.87302e-06 1.43334e-22 -0.929333 0.671766
0.547601 -4.60966e-06 -1.9742e-06 -4.76137e-21 -0.948105 0.75214
0.54306 -4.90923e-06 -2.11871e-06 -4.48469e-21 -0.969834 0.769665
0.538546 -5.41327e-06 -2.27622e-06 -9.01008e-27 -0.991865 0.799574
0.534063 -6.29146e-06 -2.40859e-06 -1.46059e-22 -1.01594 0.849923
0.5296 -7.50969e-06 -2.48585e-06 7.31149e-23 -1.03827 0.919052
0.525167 -8.18603e-06 -2.60571e-06 7.37249e-23 -1.05987 0.953685
0.520762 -8.66253e-06 -2.75701e-06 4.65764e-21 -1.08337 0.972442
0.51638 -9.20126e-06 -2.94746e-06 9.50659e-21 -1.10754 0.993785
0.512028 -1.05574e-05 -3.01955e-06 -4.77078e-21 -1.13442 1.05154
0.507699 -1.17239e-05 -3.07293e-06 8.4651e-27 -1.1555 1.1047
0.503394 -1.20721e-05 -3.25015e-06 3.76182e-23 -1.18022 1.11245
0.499119 -1.27108e-05 -3.41762e-06 -3.77851e-23 -1.20542 1.13207
0.494866 -1.36207e-05 -3.57208e-06 4.84564e-21 -1.23248 1.16154
0.490641 -1.50744e-05 -3.61152e-06 -4.87431e-21 -1.25886 1.21292
0.486443 -1.6031e-05 -3.69161e-06 -3.81696e-23 -1.28213 1.24616
0.482265 -1.65014e-05 -3.87481e-06 -4.87482e-21 -1.3083 1.25493
0.478116 -1.71393e-05 -4.07981e-06 4.94231e-21 -1.33538 1.26944
0.473991 -1.84532e-05 -4.18041e-06 -2.05712e-38 -1.36522 1.30572
0.46989 -2.01014e-05 -4.14803e-06 -4.93273e-21 -1.39078 1.35744
0.465816 -2.08651e-05 -4.24572e-06 9.90332e-21 -1.41508 1.37796
0.461762 -2.13325e-05 -4.43498e-06 -4.97199e-21 -1.44211 1.38369
0.457735 -2.19425e-05 -4.66649e-06 3.94494e-23 -1.47049 1.39381
0.453735 -2.35745e-05 -4.70611e-06 -5.08778e-21 -1.50232 1.43287
0.449755 -2.54321e-05 -4.58487e-06 -1.80732e-37 -1.52674 1.48593
0.445801 -2.60523e-05 -4.68952e-06 2.54815e-21 -1.55096 1.49917
0.441868 -2.64646e-05 -4.88161e-06 2.59705e-21 -1.57806 1.50142
0.437961 -2.70474e-05 -5.11316e-06 2.5768e-21 -1.60676 1.50839
0.434081 -2.86855e-05 -5.13616e-06 2.53894e-21 -1.639 1.54208
0.430219 -3.066e-05 -4.9572e-06 -2.54234e-21 -1.66369 1.59208
0.426382 -3.13324e-05 -5.02757e-06 -1.10155e-26 -1.68691 1.60582
0.42257 -3.16482e-05 -5.22475e-06 2.57215e-21 -1.71367 1.60458
0.418779 -3.22066e-05 -5.43788e-06 -2.57139e-39 -1.74204 1.60935
0.415014 -3.35676e-05 -5.51217e-06 -1.03949e-37 -1.77362 1.63268
0.411271 -3.56984e-05 -5.29966e-06 -1.93589e-37 -1.80072 1.67901
0.407549 -3.66843e-05 -5.26596e-06 -2.65622e-21 -1.82178 1.70119
0.403853 -3.6853e-05 -5.47811e-06 2.67105e-21 -1.84793 1.69617
